StartTime: 2022-05-01 21:54:31.644
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 21:54:31.644	0.0537	-1.0049	0.0347	-0.6104	-3.9673	0.0000	-88.1158	-2.8455	-3.3453	37.13
0x50	 21:54:31.644	0.0562	-1.0063	0.0308	-0.1831	-3.4790	0.0000	-88.1213	-2.8510	-3.3069	37.13
0x50	 21:54:31.645	0.0562	-1.0063	0.0308	-0.1831	-3.4790	0.0000	-88.1268	-2.8564	-3.2739	37.13
0x50	 21:54:31.646	0.0581	-1.0054	0.0293	0.2441	-2.9907	0.0000	-88.1268	-2.8619	-3.2410	37.13
0x50	 21:54:31.656	0.0581	-1.0054	0.0293	0.2441	-2.9907	0.0000	-88.1323	-2.8674	-3.2135	37.13
0x50	 21:54:31.666	0.0596	-1.0054	0.0249	0.4883	-1.8311	0.1831	-88.1323	-2.8729	-3.1970	37.12
0x50	 21:54:31.675	0.0596	-1.0054	0.0249	0.4883	-1.8311	0.1831	-88.1323	-2.8729	-3.1750	37.12
0x50	 21:54:31.686	0.0566	-1.0073	0.0273	0.3052	-1.3428	0.2441	-88.1323	-2.8784	-3.1641	37.12
0x50	 21:54:31.696	0.0566	-1.0073	0.0273	0.3052	-1.3428	0.2441	-88.1323	-2.8784	-3.1476	37.12
0x50	 21:54:31.706	0.0586	-1.0039	0.0259	0.0000	-0.7935	0.0000	-88.1378	-2.8839	-3.1421	37.12
0x50	 21:54:31.716	0.0586	-1.0039	0.0259	0.0000	-0.7935	0.0000	-88.1433	-2.8894	-3.1311	37.12
0x50	 21:54:31.749	0.0547	-1.0020	0.0264	-0.3052	0.3052	0.0000	-88.1488	-2.8894	-3.1366	37.12
0x50	 21:54:31.749	0.0547	-1.0020	0.0264	-0.3052	0.3052	0.0000	-88.1543	-2.8949	-3.1421	37.12
0x50	 21:54:31.749	0.0508	-1.0034	0.0288	-0.4883	0.3662	0.0000	-88.1598	-2.8894	-3.1421	37.13
0x50	 21:54:31.756	0.0508	-1.0034	0.0288	-0.4883	0.3662	0.0000	-88.1653	-2.8894	-3.1476	37.13
0x50	 21:54:31.766	0.0532	-1.0029	0.0317	-0.6714	0.2441	-0.1831	-88.1763	-2.8949	-3.1476	37.13
0x50	 21:54:31.776	0.0532	-1.0029	0.0317	-0.6714	0.2441	-0.1831	-88.1818	-2.9004	-3.1531	37.13
0x50	 21:54:31.786	0.0522	-1.0010	0.0342	-0.8545	0.5493	0.0000	-88.1873	-2.9004	-3.1586	37.12
0x50	 21:54:31.796	0.0522	-1.0010	0.0342	-0.8545	0.5493	0.0000	-88.1927	-2.9004	-3.1641	37.12
0x50	 21:54:31.806	0.0518	-1.0010	0.0371	-0.8545	0.7324	0.0000	-88.1982	-2.9004	-3.1696	37.13
0x50	 21:54:31.816	0.0518	-1.0010	0.0371	-0.8545	0.7324	0.0000	-88.2037	-2.9004	-3.1750	37.13
0x50	 21:54:31.826	0.0513	-1.0000	0.0361	-0.7324	0.7324	-0.1831	-88.2092	-2.9004	-3.1860	37.12
0x50	 21:54:31.836	0.0513	-1.0000	0.0361	-0.7324	0.7324	-0.1831	-88.2092	-2.9059	-3.1915	37.12
0x50	 21:54:31.846	0.0479	-1.0000	0.0356	-0.7324	0.3662	-0.1831	-88.2147	-2.9059	-3.1970	37.14
0x50	 21:54:31.856	0.0479	-1.0000	0.0356	-0.7324	0.3662	-0.1831	-88.2202	-2.9059	-3.1970	37.14
0x50	 21:54:31.866	0.0469	-1.0000	0.0376	-0.8545	-0.9155	0.0000	-88.2257	-2.9004	-3.1915	37.13
0x50	 21:54:31.877	0.0469	-1.0000	0.0376	-0.8545	-0.9155	0.0000	-88.2312	-2.9004	-3.1805	37.13
0x50	 21:54:31.887	0.0503	-0.9966	0.0396	-0.9766	-1.5869	0.0000	-88.2367	-2.9004	-3.1641	37.14
0x50	 21:54:31.897	0.0503	-0.9966	0.0396	-0.9766	-1.5869	0.0000	-88.2422	-2.9004	-3.1476	37.14
0x50	 21:54:31.907	0.0459	-0.9971	0.0391	-1.0986	-2.4414	0.2441	-88.2477	-2.8949	-3.1256	37.13
0x50	 21:54:31.917	0.0459	-0.9971	0.0391	-1.0986	-2.4414	0.2441	-88.2587	-2.8894	-3.0981	37.13
0x50	 21:54:31.952	0.0459	-0.9995	0.0371	-0.7935	-3.7231	0.2441	-88.2642	-2.8894	-3.0652	37.14
0x50	 21:54:31.953	0.0459	-0.9995	0.0371	-0.7935	-3.7231	0.2441	-88.2697	-2.8839	-3.0267	37.14
0x50	 21:54:31.953	0.0483	-1.0034	0.0337	-0.7935	-4.5166	0.0000	-88.2751	-2.8839	-2.9828	37.13
0x50	 21:54:31.957	0.0483	-1.0034	0.0337	-0.7935	-4.5166	0.0000	-88.2861	-2.8839	-2.9333	37.13
0x50	 21:54:31.967	0.0522	-1.0049	0.0337	-0.8545	-4.2725	-0.2441	-88.2916	-2.8894	-2.8949	37.13
0x50	 21:54:31.976	0.0522	-1.0049	0.0337	-0.8545	-4.2725	-0.2441	-88.3026	-2.8949	-2.8510	37.13
0x50	 21:54:31.986	0.0552	-1.0000	0.0317	-1.0986	-4.0283	-0.2441	-88.3136	-2.9004	-2.8125	37.12
0x50	 21:54:31.997	0.0552	-1.0000	0.0317	-1.0986	-4.0283	-0.2441	-88.3246	-2.9059	-2.7686	37.12
0x50	 21:54:32.007	0.0581	-0.9990	0.0273	-1.0986	-3.2959	0.0000	-88.3356	-2.9114	-2.7356	37.14
0x50	 21:54:32.017	0.0581	-0.9990	0.0273	-1.0986	-3.2959	0.0000	-88.3521	-2.9169	-2.7026	37.14
0x50	 21:54:32.027	0.0503	-1.0015	0.0259	-0.7935	-3.6621	0.2441	-88.3630	-2.9169	-2.6697	37.13
0x50	 21:54:32.037	0.0503	-1.0015	0.0259	-0.7935	-3.6621	0.2441	-88.3740	-2.9114	-2.6312	37.13
0x50	 21:54:32.046	0.0537	-1.0034	0.0249	-0.4272	-4.2725	0.2441	-88.3850	-2.9114	-2.5873	37.13
0x50	 21:54:32.056	0.0537	-1.0034	0.0249	-0.4272	-4.2725	0.2441	-88.3905	-2.9114	-2.5433	37.13
0x50	 21:54:32.066	0.0562	-1.0049	0.0239	-0.4272	-3.8452	0.0000	-88.4015	-2.9169	-2.5049	37.13
0x50	 21:54:32.076	0.0562	-1.0049	0.0239	-0.4272	-3.8452	0.0000	-88.4070	-2.9224	-2.4664	37.13
0x50	 21:54:32.086	0.0566	-1.0029	0.0234	-0.6104	-2.5024	0.0000	-88.4180	-2.9224	-2.4445	37.12
0x50	 21:54:32.096	0.0566	-1.0029	0.0234	-0.6104	-2.5024	0.0000	-88.4290	-2.9279	-2.4170	37.12
0x50	 21:54:32.106	0.0557	-1.0005	0.0234	-0.7935	-1.6479	0.0000	-88.4399	-2.9333	-2.4005	37.14
0x50	 21:54:32.116	0.0557	-1.0005	0.0234	-0.7935	-1.6479	0.0000	-88.4509	-2.9333	-2.3840	37.14
0x50	 21:54:32.126	0.0552	-1.0044	0.0225	-0.8545	-1.5259	0.0000	-88.4619	-2.9388	-2.3676	37.12
0x50	 21:54:32.156	0.0552	-1.0044	0.0225	-0.8545	-1.5259	0.0000	-88.4729	-2.9388	-2.3566	37.12
0x50	 21:54:32.156	0.0537	-1.0010	0.0234	-0.7324	-1.7090	0.0000	-88.4839	-2.9388	-2.3346	37.12
0x50	 21:54:32.157	0.0537	-1.0010	0.0234	-0.7324	-1.7090	0.0000	-88.4949	-2.9443	-2.3181	37.12
