StartTime: 2022-05-01 21:57:07.107
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 21:57:07.107	0.0181	-1.0098	0.0547	5.3101	-0.6104	0.0000	-85.5286	-0.8734	-11.3708	37.26
0x50	 21:57:07.107	0.0234	-1.0107	0.0635	5.0659	0.0000	-0.2441	-85.4901	-0.8789	-11.3708	37.25
0x50	 21:57:07.116	0.0234	-1.0107	0.0635	5.0659	0.0000	-0.2441	-85.4462	-0.8844	-11.3708	37.25
0x50	 21:57:07.147	0.0308	-1.0112	0.0718	5.2490	1.6479	-0.1831	-85.4022	-0.8954	-11.3873	37.25
0x50	 21:57:07.147	0.0308	-1.0112	0.0718	5.2490	1.6479	-0.1831	-85.3528	-0.9009	-11.4038	37.25
0x50	 21:57:07.147	0.0317	-1.0107	0.0669	6.4087	4.2725	0.6104	-85.2979	-0.9009	-11.4478	37.26
0x50	 21:57:07.156	0.0317	-1.0107	0.0669	6.4087	4.2725	0.6104	-85.2429	-0.9009	-11.4862	37.26
0x50	 21:57:07.166	0.0283	-1.0029	0.0566	7.6904	5.3711	1.2207	-85.1825	-0.8954	-11.5411	37.26
0x50	 21:57:07.175	0.0283	-1.0029	0.0566	7.6904	5.3711	1.2207	-85.1221	-0.8844	-11.5906	37.26
0x50	 21:57:07.186	0.0200	-0.9995	0.0601	7.7515	4.4556	1.4038	-85.0562	-0.8679	-11.6345	37.26
0x50	 21:57:07.195	0.0200	-0.9995	0.0601	7.7515	4.4556	1.4038	-84.9957	-0.8514	-11.6785	37.26
0x50	 21:57:07.206	0.0186	-0.9951	0.0752	6.3477	2.8687	1.2817	-84.9408	-0.8405	-11.7059	37.25
0x50	 21:57:07.215	0.0186	-0.9951	0.0752	6.3477	2.8687	1.2817	-84.8859	-0.8295	-11.7334	37.25
0x50	 21:57:07.225	0.0176	-0.9878	0.0913	3.8452	2.7466	0.8545	-84.8419	-0.8185	-11.7609	37.27
0x50	 21:57:07.235	0.0176	-0.9878	0.0913	3.8452	2.7466	0.8545	-84.8035	-0.8075	-11.7883	37.27
0x50	 21:57:07.245	-0.0005	-0.9893	0.1055	1.3428	2.5024	0.0000	-84.7815	-0.7965	-11.8103	37.25
0x50	 21:57:07.255	-0.0005	-0.9893	0.1055	1.3428	2.5024	0.0000	-84.7595	-0.7910	-11.8378	37.25
0x50	 21:57:07.289	-0.0166	-1.0020	0.1182	-0.2441	-0.7324	-0.9766	-84.7485	-0.7800	-11.8323	37.25
0x50	 21:57:07.289	-0.0166	-1.0020	0.1182	-0.2441	-0.7324	-0.9766	-84.7321	-0.7745	-11.8268	37.25
0x50	 21:57:07.289	-0.0054	-1.0132	0.1250	0.0000	-3.1128	-1.4038	-84.7156	-0.7800	-11.7938	37.26
