StartTime: 2022-05-01 21:59:01.341
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 21:59:01.341	0.0547	-1.0049	0.0493	0.9766	-20.8740	0.0000	-88.1158	-3.3344	-35.2332	37.35
0x50	 21:59:01.343	0.0547	-1.0049	0.0493	0.9766	-20.8740	0.0000	-88.1049	-3.3398	-35.0244	37.35
0x50	 21:59:01.352	0.0488	-1.0039	0.0449	1.8311	-20.1416	0.4883	-88.0939	-3.3398	-34.8212	37.36
0x50	 21:59:01.382	0.0488	-1.0039	0.0449	1.8311	-20.1416	0.4883	-88.0829	-3.3344	-34.6179	37.36
0x50	 21:59:01.382	0.0527	-1.0059	0.0366	2.6245	-18.5547	0.6104	-88.0664	-3.3289	-34.4312	37.36
0x50	 21:59:01.382	0.0527	-1.0059	0.0366	2.6245	-18.5547	0.6104	-88.0444	-3.3289	-34.2499	37.36
0x50	 21:59:01.393	0.0605	-1.0024	0.0327	2.6245	-17.5781	0.5493	-88.0334	-3.3289	-34.0686	37.37
0x50	 21:59:01.402	0.0605	-1.0024	0.0327	2.6245	-17.5781	0.5493	-88.0170	-3.3289	-33.8928	37.37
0x50	 21:59:01.413	0.0767	-0.9966	0.0215	2.4414	-14.2822	0.5493	-88.0060	-3.3398	-33.7500	37.35
0x50	 21:59:01.422	0.0767	-0.9966	0.0215	2.4414	-14.2822	0.5493	-88.0005	-3.3508	-33.6072	37.35
0x50	 21:59:01.433	0.0752	-0.9971	0.0122	1.9531	-9.7656	0.8545	-88.0005	-3.3563	-33.5083	37.35
0x50	 21:59:01.443	0.0752	-0.9971	0.0122	1.9531	-9.7656	0.8545	-88.0005	-3.3618	-33.4149	37.35
0x50	 21:59:01.453	0.0737	-1.0015	0.0054	1.6479	-6.8359	0.6104	-88.0060	-3.3618	-33.3435	37.35
0x50	 21:59:01.463	0.0737	-1.0015	0.0054	1.6479	-6.8359	0.6104	-88.0060	-3.3673	-33.2776	37.35
0x50	 21:59:01.473	0.0762	-1.0068	0.0063	0.6714	-4.5166	-0.2441	-88.0225	-3.3838	-33.2281	37.36
0x50	 21:59:01.483	0.0762	-1.0068	0.0063	0.6714	-4.5166	-0.2441	-88.0334	-3.3948	-33.1842	37.36
0x50	 21:59:01.493	0.0820	-1.0044	0.0122	-0.1831	-1.0986	-0.9155	-88.0499	-3.4167	-33.1732	37.35
0x50	 21:59:01.503	0.0820	-1.0044	0.0122	-0.1831	-1.0986	-0.9155	-88.0609	-3.4387	-33.1622	37.35
0x50	 21:59:01.513	0.0649	-0.9971	0.0190	-1.1597	0.0000	-0.6714	-88.0829	-3.4497	-33.1622	37.34
0x50	 21:59:01.523	0.0649	-0.9971	0.0190	-1.1597	0.0000	-0.6714	-88.0994	-3.4607	-33.1622	37.34
0x50	 21:59:01.533	0.0537	-0.9956	0.0308	-1.0986	-3.1128	-0.7324	-88.1158	-3.4662	-33.1348	37.34
0x50	 21:59:01.543	0.0537	-0.9956	0.0308	-1.0986	-3.1128	-0.7324	-88.1323	-3.4662	-33.1018	37.34
