StartTime: 2022-05-03 22:03:10.241
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 22:03:10.241	-0.0811	-0.9966	0.1147	0.0000	0.0000	0.0000	-83.4247	4.5978	17.3529	36.52
0x50	 22:03:10.241	-0.0811	-0.9966	0.1147	0.0000	0.0000	0.0000	-83.4247	4.5978	17.3529	36.52
0x50	 22:03:10.251	-0.0820	-0.9932	0.1138	0.0000	0.0000	-0.1831	-83.4247	4.5978	17.3529	36.55
0x50	 22:03:10.261	-0.0820	-0.9932	0.1138	0.0000	0.0000	-0.1831	-83.4247	4.5978	17.3529	36.55
0x50	 22:03:10.270	-0.0835	-0.9932	0.1157	0.0000	0.0000	0.0000	-83.4247	4.5978	17.3529	36.53
0x50	 22:03:10.281	-0.0835	-0.9932	0.1157	0.0000	0.0000	0.0000	-83.4247	4.6033	17.3529	36.53
0x50	 22:03:10.313	-0.0835	-0.9951	0.1108	0.0000	0.6714	0.1831	-83.4247	4.6033	17.3474	36.53
0x50	 22:03:10.313	-0.0835	-0.9951	0.1108	0.0000	0.6714	0.1831	-83.4302	4.6088	17.3419	36.53
0x50	 22:03:10.313	-0.0825	-0.9966	0.1133	0.0000	1.4648	0.0000	-83.4302	4.6143	17.3254	36.53
0x50	 22:03:10.321	-0.0825	-0.9966	0.1133	0.0000	1.4648	0.0000	-83.4302	4.6143	17.3090	36.53
0x50	 22:03:10.331	-0.0811	-0.9941	0.1167	0.0000	1.2817	0.0000	-83.4302	4.6143	17.2980	36.52
0x50	 22:03:10.341	-0.0811	-0.9941	0.1167	0.0000	1.2817	0.0000	-83.4302	4.6198	17.2870	36.52
0x50	 22:03:10.351	-0.0791	-0.9946	0.1152	0.0000	0.7935	0.3052	-83.4302	4.6198	17.2760	36.53
0x50	 22:03:10.361	-0.0791	-0.9946	0.1152	0.0000	0.7935	0.3052	-83.4302	4.6252	17.2705	36.53
0x50	 22:03:10.371	-0.0806	-0.9990	0.1113	0.0000	0.7935	0.4272	-83.4357	4.6252	17.2650	36.53
0x50	 22:03:10.381	-0.0806	-0.9990	0.1113	0.0000	0.7935	0.4272	-83.4357	4.6307	17.2540	36.53
0x50	 22:03:10.391	-0.0825	-0.9990	0.1138	0.0000	0.5493	-0.1831	-83.4412	4.6307	17.2485	36.52
0x50	 22:03:10.401	-0.0825	-0.9990	0.1138	0.0000	0.5493	-0.1831	-83.4412	4.6307	17.2430	36.52
0x50	 22:03:10.411	-0.0820	-0.9946	0.1172	-0.4272	0.0000	-0.4272	-83.4412	4.6252	17.2430	36.53
0x50	 22:03:10.421	-0.0820	-0.9946	0.1172	-0.4272	0.0000	-0.4272	-83.4467	4.6252	17.2430	36.53
0x50	 22:03:10.432	-0.0806	-0.9922	0.1167	-0.5493	-0.7935	-0.3052	-83.4467	4.6198	17.2540	36.53
0x50	 22:03:10.442	-0.0806	-0.9922	0.1167	-0.5493	-0.7935	-0.3052	-83.4521	4.6143	17.2595	36.53
0x50	 22:03:10.452	-0.0815	-0.9922	0.1118	-0.4272	-0.7324	0.1831	-83.4576	4.6198	17.2650	36.53
0x50	 22:03:10.464	-0.0815	-0.9922	0.1118	-0.4272	-0.7324	0.1831	-83.4631	4.6198	17.2760	36.53
0x50	 22:03:10.472	-0.0835	-0.9941	0.1123	0.0000	-0.6104	0.6104	-83.4631	4.6252	17.2815	36.54
0x50	 22:03:10.481	-0.0835	-0.9941	0.1123	0.0000	-0.6104	0.6104	-83.4631	4.6307	17.2870	36.54
0x50	 22:03:10.518	-0.0835	-0.9966	0.1138	0.0000	-0.7324	0.7324	-83.4631	4.6417	17.2980	36.54
0x50	 22:03:10.518	-0.0835	-0.9966	0.1138	0.0000	-0.7324	0.7324	-83.4631	4.6472	17.3035	36.54
0x50	 22:03:10.518	-0.0830	-0.9980	0.1147	-0.3052	-1.0986	0.4272	-83.4631	4.6527	17.3145	36.53
0x50	 22:03:10.522	-0.0830	-0.9980	0.1147	-0.3052	-1.0986	0.4272	-83.4631	4.6527	17.3254	36.53
0x50	 22:03:10.532	-0.0811	-0.9995	0.1104	-0.3662	-1.0986	0.0000	-83.4686	4.6527	17.3364	36.53
