StartTime: 2021-11-11 13:47:11.168
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 13:47:11.168	-0.0293	-1.0073	-0.0122	0.2441	0.0000	0.0000	-90.5493	1.7303	0.4724	34.79
0x50	 13:47:11.168	-0.0313	-1.0068	-0.0107	0.2441	0.0000	0.0000	-90.5438	1.7303	0.4724	34.79
0x50	 13:47:11.168	-0.0313	-1.0068	-0.0107	0.1831	0.3662	0.0000	-90.5438	1.7303	0.4669	34.80
0x50	 13:47:11.168	-0.0317	-1.0054	-0.0098	0.1831	0.3662	0.0000	-90.5438	1.7303	0.4669	34.80
0x50	 13:47:11.168	-0.0317	-1.0054	-0.0098	0.0000	0.5493	0.0000	-90.5438	1.7303	0.4614	34.80
0x50	 13:47:11.168	-0.0308	-1.0049	-0.0078	0.0000	0.5493	0.0000	-90.5438	1.7358	0.4559	34.80
0x50	 13:47:11.168	-0.0308	-1.0049	-0.0078	0.0000	0.3662	0.0000	-90.5438	1.7358	0.4504	34.80
0x50	 13:47:11.168	-0.0278	-1.0039	-0.0059	0.0000	0.3662	0.0000	-90.5438	1.7358	0.4449	34.80
0x50	 13:47:11.168	-0.0278	-1.0039	-0.0059	0.0000	0.4883	0.0000	-90.5383	1.7303	0.4395	34.80
0x50	 13:47:11.177	-0.0303	-1.0044	-0.0044	0.0000	0.4883	0.0000	-90.5383	1.7303	0.4395	34.80
0x50	 13:47:11.187	-0.0303	-1.0044	-0.0044	0.0000	0.4272	0.0000	-90.5328	1.7303	0.4340	34.80
0x50	 13:47:11.198	-0.0322	-1.0054	-0.0039	0.0000	0.4272	0.0000	-90.5328	1.7303	0.4285	34.80
0x50	 13:47:11.207	-0.0322	-1.0054	-0.0039	0.0000	0.0000	0.0000	-90.5273	1.7303	0.4285	34.79
0x50	 13:47:11.217	-0.0313	-1.0059	-0.0059	0.0000	0.0000	0.0000	-90.5273	1.7303	0.4285	34.79
0x50	 13:47:11.228	-0.0313	-1.0059	-0.0059	0.0000	-0.1831	0.0000	-90.5219	1.7303	0.4285	34.79
0x50	 13:47:11.259	-0.0288	-1.0059	-0.0083	0.0000	-0.1831	0.0000	-90.5219	1.7358	0.4340	34.79
