StartTime: 2021-11-13 15:52:18.893
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 15:52:18.893	-0.0020	-0.9995	0.1353	-1.8311	-7.9346	-2.1973	-82.6831	0.4999	-16.9739	39.54
0x50	 15:52:18.893	-0.0049	-0.9771	0.1260	-1.8311	-7.9346	-2.1973	-82.6941	0.4669	-16.8970	39.54
0x50	 15:52:18.893	-0.0049	-0.9771	0.1260	0.3052	-10.7422	-1.3428	-82.6886	0.4340	-16.7926	39.54
0x50	 15:52:18.904	-0.0151	-1.0029	0.1313	0.3052	-10.7422	-1.3428	-82.6831	0.4065	-16.6882	39.54
0x50	 15:52:18.927	-0.0151	-1.0029	0.1313	-0.3052	-11.1694	-0.9766	-82.6886	0.3900	-16.5784	39.54
0x50	 15:52:18.927	-0.0273	-0.9966	0.1328	-0.3052	-11.1694	-0.9766	-82.6886	0.3680	-16.4685	39.54
0x50	 15:52:18.933	-0.0273	-0.9966	0.1328	-0.9155	-16.4185	-1.6479	-82.6941	0.3461	-16.3092	39.53
0x50	 15:52:18.943	0.0044	-0.9985	0.1299	-0.9155	-16.4185	-1.6479	-82.6996	0.3186	-16.1499	39.53
0x50	 15:52:18.953	0.0044	-0.9985	0.1299	-0.9155	-20.4468	-2.2583	-82.7051	0.2637	-15.9467	39.53
0x50	 15:52:18.962	0.0435	-1.0024	0.1216	-0.9155	-20.4468	-2.2583	-82.7106	0.2142	-15.7489	39.53
0x50	 15:52:18.973	0.0435	-1.0024	0.1216	-0.3662	-18.6768	-1.5869	-82.7161	0.1483	-15.5676	39.54
0x50	 15:52:18.983	0.0410	-1.0010	0.1240	-0.3662	-18.6768	-1.5869	-82.7271	0.0824	-15.3809	39.54
0x50	 15:52:18.992	0.0410	-1.0010	0.1240	0.1831	-17.1509	1.9531	-82.7271	0.0549	-15.2106	39.53
0x50	 15:52:19.003	0.0215	-1.0059	0.1265	0.1831	-17.1509	1.9531	-82.7271	0.0275	-15.0348	39.53
0x50	 15:52:19.012	0.0215	-1.0059	0.1265	-0.4883	-17.5781	0.7324	-82.7325	0.0000	-14.8590	39.54
0x50	 15:52:19.022	0.0093	-0.9893	0.1177	-0.4883	-17.5781	0.7324	-82.7380	-0.0220	-14.6887	39.54
0x50	 15:52:19.033	0.0093	-0.9893	0.1177	-1.2207	-19.2871	-0.7324	-82.7545	-0.0549	-14.4965	39.54
0x50	 15:52:19.043	-0.0015	-0.9917	0.1143	-1.2207	-19.2871	-0.7324	-82.7710	-0.0934	-14.3042	39.54
0x50	 15:52:19.052	-0.0015	-0.9917	0.1143	-2.9297	-19.8364	-1.2207	-82.8040	-0.1263	-14.1119	39.54
0x50	 15:52:19.062	0.0259	-1.0059	0.1104	-2.9297	-19.8364	-1.2207	-82.8424	-0.1593	-13.9142	39.54
0x50	 15:52:19.072	0.0259	-1.0059	0.1104	-4.0283	-21.1792	-0.8545	-82.8918	-0.2087	-13.7054	39.54
0x50	 15:52:19.082	0.0361	-1.0220	0.1064	-4.0283	-21.1792	-0.8545	-82.9413	-0.2582	-13.4967	39.54
0x50	 15:52:19.092	0.0361	-1.0220	0.1064	-4.1504	-22.8882	1.6479	-82.9962	-0.2856	-13.2660	39.54
0x50	 15:52:19.102	0.0342	-1.0098	0.1069	-4.1504	-22.8882	1.6479	-83.0457	-0.3131	-13.0408	39.54
0x50	 15:52:19.130	0.0342	-1.0098	0.1069	-4.5776	-24.6582	2.5024	-83.1006	-0.3351	-12.7881	39.53
0x50	 15:52:19.130	0.0454	-0.9712	0.0947	-4.5776	-24.6582	2.5024	-83.1555	-0.3571	-12.5409	39.53
0x50	 15:52:19.132	0.0454	-0.9712	0.0947	-7.5684	-20.9961	3.1128	-83.2489	-0.3735	-12.3322	39.53
0x50	 15:52:19.142	0.0088	-0.9854	0.1108	-7.5684	-20.9961	3.1128	-83.3368	-0.3900	-12.1179	39.53
0x50	 15:52:19.152	0.0088	-0.9854	0.1108	-9.5215	-21.3013	-1.6479	-83.4302	-0.4285	-11.9092	39.54
0x50	 15:52:19.162	0.0293	-0.9927	0.0840	-9.5215	-21.3013	-1.6479	-83.5291	-0.4724	-11.7004	39.54
0x50	 15:52:19.172	0.0293	-0.9927	0.0840	-12.0850	-22.2168	0.6104	-83.6664	-0.5054	-11.4752	39.54
0x50	 15:52:19.182	0.0391	-0.9966	0.0693	-12.0850	-22.2168	0.6104	-83.8037	-0.5328	-11.2555	39.54
0x50	 15:52:19.192	0.0391	-0.9966	0.0693	-11.3525	-19.4092	4.2725	-83.9410	-0.5273	-11.0577	39.54
0x50	 15:52:19.202	0.0220	-0.9961	0.0688	-11.3525	-19.4092	4.2725	-84.0729	-0.5219	-10.8600	39.54
0x50	 15:52:19.212	0.0220	-0.9961	0.0688	-13.8550	-16.3574	7.7515	-84.2322	-0.4724	-10.6897	39.53
0x50	 15:52:19.222	0.0015	-1.0078	0.0620	-13.8550	-16.3574	7.7515	-84.3915	-0.4175	-10.5194	39.53
0x50	 15:52:19.232	0.0015	-1.0078	0.0620	-15.9302	-18.1885	7.5073	-84.5728	-0.3571	-10.3326	39.53
0x50	 15:52:19.242	0.0244	-1.0034	0.0498	-15.9302	-18.1885	7.5073	-84.7485	-0.3021	-10.1459	39.53
0x50	 15:52:19.251	0.0244	-1.0034	0.0498	-16.7236	-19.2261	9.5215	-84.9408	-0.2362	-9.9426	39.55
0x50	 15:52:19.262	0.0425	-1.0093	0.0430	-16.7236	-19.2261	9.5215	-85.1276	-0.1703	-9.7449	39.55
0x50	 15:52:19.272	0.0425	-1.0093	0.0430	-18.1885	-16.6016	8.9722	-85.3308	-0.1154	-9.5691	39.55
0x50	 15:52:19.282	0.0107	-1.0088	0.0371	-18.1885	-16.6016	8.9722	-85.5341	-0.0659	-9.3988	39.55
0x50	 15:52:19.291	0.0107	-1.0088	0.0371	-19.2261	-18.1885	7.5684	-85.7483	-0.0110	-9.2120	39.54
0x50	 15:52:19.301	-0.0083	-0.9976	0.0356	-19.2261	-18.1885	7.5684	-85.9625	0.0385	-9.0253	39.54
0x50	 15:52:19.311	-0.0083	-0.9976	0.0356	-18.7988	-18.9209	4.4556	-86.1658	0.0769	-8.8330	39.54
0x50	 15:52:19.336	-0.0488	-0.9946	0.0522	-18.7988	-18.9209	4.4556	-86.3690	0.1099	-8.6407	39.54
0x50	 15:52:19.336	-0.0488	-0.9946	0.0522	-19.7754	-23.0103	5.1880	-86.5723	0.1758	-8.4045	39.53
0x50	 15:52:19.341	-0.0327	-0.9927	0.0488	-19.7754	-23.0103	5.1880	-86.7700	0.2417	-8.1738	39.53
0x50	 15:52:19.351	-0.0327	-0.9927	0.0488	-19.5923	-29.9072	5.3101	-86.9678	0.2911	-7.8717	39.54
0x50	 15:52:19.361	-0.0122	-0.9805	0.0342	-19.5923	-29.9072	5.3101	-87.1655	0.3461	-7.5696	39.54
0x50	 15:52:19.371	-0.0122	-0.9805	0.0342	-21.5454	-28.2593	4.8828	-87.3853	0.3845	-7.2839	39.54
0x50	 15:52:19.381	-0.0034	-0.9961	0.0273	-21.5454	-28.2593	4.8828	-87.5995	0.4230	-7.0038	39.54
0x50	 15:52:19.391	-0.0034	-0.9961	0.0273	-22.9492	-25.5737	7.0801	-87.8357	0.4779	-6.7456	39.54
0x50	 15:52:19.401	-0.0146	-1.0210	0.0239	-22.9492	-25.5737	7.0801	-88.0664	0.5383	-6.4874	39.54
0x50	 15:52:19.411	-0.0146	-1.0210	0.0239	-23.6206	-27.9541	7.3853	-88.3026	0.6042	-6.2018	39.54
0x50	 15:52:19.421	-0.0356	-1.0073	0.0225	-23.6206	-27.9541	7.3853	-88.5388	0.6702	-5.9216	39.54
0x50	 15:52:19.431	-0.0356	-1.0073	0.0225	-21.9116	-31.1890	5.5542	-88.7531	0.7306	-5.6085	39.54
0x50	 15:52:19.441	-0.0229	-1.0029	0.0215	-21.9116	-31.1890	5.5542	-88.9618	0.7910	-5.2954	39.54
0x50	 15:52:19.451	-0.0229	-1.0029	0.0215	-21.7896	-34.1797	4.5166	-89.1760	0.8350	-4.9548	39.53
0x50	 15:52:19.461	-0.0068	-1.0117	0.0005	-21.7896	-34.1797	4.5166	-89.3793	0.8789	-4.6088	39.53
0x50	 15:52:19.471	-0.0068	-1.0117	0.0005	-20.3857	-32.9590	4.3335	-89.5825	0.9119	-4.2792	39.54
0x50	 15:52:19.481	-0.0098	-0.9966	-0.0107	-20.3857	-32.9590	4.3335	-89.7858	0.9503	-3.9496	39.54
0x50	 15:52:19.491	-0.0098	-0.9966	-0.0107	-18.5547	-31.4941	4.7607	-89.9725	0.9888	-3.6365	39.54
0x50	 15:52:19.500	-0.0327	-0.9990	-0.0107	-18.5547	-31.4941	4.7607	-90.1538	1.0327	-3.3179	39.54
0x50	 15:52:19.510	-0.0327	-0.9990	-0.0107	-18.7988	-30.6396	5.6763	-90.3406	1.0986	-3.0157	39.53
0x50	 15:52:19.539	-0.0474	-0.9985	-0.0063	-18.7988	-30.6396	5.6763	-90.5219	1.1646	-2.7081	39.53
