StartTime: 2021-11-13 15:39:09.615
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 15:39:09.615	0.0103	-1.0015	0.0356	-0.4883	2.3193	0.4272	-88.3136	-1.1700	-29.2950	39.29
0x50	 15:39:09.615	0.0103	-1.0015	0.0356	-0.3052	1.0376	0.0000	-88.3136	-1.1646	-29.3060	39.28
0x50	 15:39:09.618	0.0176	-0.9976	0.0332	-0.3052	1.0376	0.0000	-88.3136	-1.1591	-29.3170	39.28
0x50	 15:39:09.628	0.0176	-0.9976	0.0332	-0.3052	-0.2441	-0.4883	-88.3136	-1.1591	-29.3170	39.28
0x50	 15:39:09.638	0.0249	-0.9980	0.0303	-0.3052	-0.2441	-0.4883	-88.3136	-1.1646	-29.3115	39.28
0x50	 15:39:09.648	0.0249	-0.9980	0.0303	-0.2441	0.0000	-0.3662	-88.3136	-1.1700	-29.3115	39.29
0x50	 15:39:09.657	0.0220	-0.9990	0.0298	-0.2441	0.0000	-0.3662	-88.3191	-1.1755	-29.3115	39.29
0x50	 15:39:09.668	0.0220	-0.9990	0.0298	0.0000	0.5493	0.0000	-88.3191	-1.1755	-29.3170	39.30
0x50	 15:39:09.678	0.0171	-1.0015	0.0273	0.0000	0.5493	0.0000	-88.3191	-1.1755	-29.3225	39.30
0x50	 15:39:09.688	0.0171	-1.0015	0.0273	0.0000	0.6714	0.3052	-88.3191	-1.1700	-29.3280	39.28
0x50	 15:39:09.697	0.0166	-1.0029	0.0288	0.0000	0.6714	0.3052	-88.3191	-1.1646	-29.3390	39.28
0x50	 15:39:09.706	0.0166	-1.0029	0.0288	-0.1831	0.6104	0.0000	-88.3191	-1.1646	-29.3445	39.29
0x50	 15:39:09.725	0.0239	-0.9976	0.0283	-0.1831	0.6104	0.0000	-88.3246	-1.1646	-29.3500	39.29
0x50	 15:39:09.726	0.0239	-0.9976	0.0283	-0.2441	0.0000	0.0000	-88.3246	-1.1646	-29.3500	39.30
0x50	 15:39:09.736	0.0264	-0.9951	0.0249	-0.2441	0.0000	0.0000	-88.3301	-1.1646	-29.3500	39.30
0x50	 15:39:09.746	0.0264	-0.9951	0.0249	-0.3052	0.3662	0.4883	-88.3356	-1.1646	-29.3555	39.28
0x50	 15:39:09.756	0.0229	-1.0000	0.0254	-0.3052	0.3662	0.4883	-88.3411	-1.1646	-29.3555	39.28
0x50	 15:39:09.766	0.0229	-1.0000	0.0254	-0.2441	1.0986	0.4883	-88.3411	-1.1591	-29.3665	39.29
0x50	 15:39:09.776	0.0166	-1.0049	0.0278	-0.2441	1.0986	0.4883	-88.3466	-1.1591	-29.3774	39.29
0x50	 15:39:09.787	0.0166	-1.0049	0.0278	-0.3662	1.6479	0.0000	-88.3521	-1.1536	-29.3939	39.28
0x50	 15:39:09.796	0.0215	-1.0039	0.0313	-0.3662	1.6479	0.0000	-88.3575	-1.1536	-29.4104	39.28
0x50	 15:39:09.807	0.0215	-1.0039	0.0313	-0.3662	1.2207	-0.4272	-88.3575	-1.1536	-29.4214	39.28
0x50	 15:39:09.816	0.0259	-1.0000	0.0313	-0.3662	1.2207	-0.4272	-88.3575	-1.1591	-29.4379	39.28
0x50	 15:39:09.826	0.0259	-1.0000	0.0313	-0.4272	1.1597	0.0000	-88.3630	-1.1646	-29.4489	39.29
0x50	 15:39:09.837	0.0176	-0.9971	0.0322	-0.4272	1.1597	0.0000	-88.3630	-1.1646	-29.4598	39.29
0x50	 15:39:09.847	0.0176	-0.9971	0.0322	-0.1831	1.3428	0.6104	-88.3630	-1.1591	-29.4708	39.29
0x50	 15:39:09.856	0.0112	-0.9971	0.0347	-0.1831	1.3428	0.6104	-88.3630	-1.1481	-29.4873	39.29
0x50	 15:39:09.866	0.0112	-0.9971	0.0347	0.0000	0.9766	0.3052	-88.3575	-1.1426	-29.4928	39.28
0x50	 15:39:09.877	0.0151	-0.9976	0.0342	0.0000	0.9766	0.3052	-88.3575	-1.1316	-29.5038	39.28
0x50	 15:39:09.886	0.0151	-0.9976	0.0342	0.0000	0.0000	0.0000	-88.3521	-1.1316	-29.5038	39.28
0x50	 15:39:09.896	0.0215	-0.9995	0.0308	0.0000	0.0000	0.0000	-88.3466	-1.1261	-29.5038	39.28
0x50	 15:39:09.906	0.0215	-0.9995	0.0308	0.0000	-0.3052	0.0000	-88.3466	-1.1316	-29.5038	39.29
0x50	 15:39:09.931	0.0220	-1.0000	0.0283	0.0000	-0.3052	0.0000	-88.3466	-1.1316	-29.4983	39.29
0x50	 15:39:09.931	0.0220	-1.0000	0.0283	0.3052	0.0000	0.3662	-88.3466	-1.1261	-29.4983	39.28
0x50	 15:39:09.935	0.0190	-1.0015	0.0288	0.3052	0.0000	0.3662	-88.3411	-1.1261	-29.4983	39.28
0x50	 15:39:09.945	0.0190	-1.0015	0.0288	0.0000	0.0000	0.4883	-88.3411	-1.1206	-29.4983	39.28
0x50	 15:39:09.955	0.0200	-1.0005	0.0273	0.0000	0.0000	0.4883	-88.3411	-1.1151	-29.4983	39.28
0x50	 15:39:09.965	0.0200	-1.0005	0.0273	0.0000	-0.3052	0.0000	-88.3411	-1.1151	-29.4928	39.28
0x50	 15:39:09.975	0.0313	-0.9927	0.0264	0.0000	-0.3052	0.0000	-88.3411	-1.1151	-29.4928	39.28
0x50	 15:39:09.986	0.0313	-0.9927	0.0264	0.0000	-0.1831	0.0000	-88.3466	-1.1206	-29.4928	39.29
0x50	 15:39:09.996	0.0254	-0.9995	0.0259	0.0000	-0.1831	0.0000	-88.3466	-1.1316	-29.4873	39.29
0x50	 15:39:10.005	0.0254	-0.9995	0.0259	0.0000	1.2817	0.5493	-88.3466	-1.1261	-29.4983	39.28
0x50	 15:39:10.015	0.0146	-1.0024	0.0322	0.0000	1.2817	0.5493	-88.3466	-1.1261	-29.5148	39.28
0x50	 15:39:10.025	0.0146	-1.0024	0.0322	0.0000	1.4648	0.3662	-88.3466	-1.1151	-29.5258	39.30
0x50	 15:39:10.035	0.0127	-1.0000	0.0337	0.0000	1.4648	0.3662	-88.3466	-1.1096	-29.5422	39.30
0x50	 15:39:10.045	0.0127	-1.0000	0.0337	-0.2441	0.6104	0.0000	-88.3466	-1.1041	-29.5477	39.28
0x50	 15:39:10.055	0.0127	-1.0000	0.0337	-0.2441	0.6104	0.0000	-88.3466	-1.1041	-29.5532	39.28
0x50	 15:39:10.065	0.0186	-1.0000	0.0293	-0.2441	0.6104	0.0000	-88.3411	-1.0986	-29.5587	39.28
0x50	 15:39:10.075	0.0186	-1.0000	0.0293	-0.3052	0.0000	-0.3662	-88.3466	-1.1041	-29.5587	39.29
0x50	 15:39:10.085	0.0220	-0.9985	0.0293	-0.3052	0.0000	-0.3662	-88.3466	-1.1041	-29.5587	39.29
0x50	 15:39:10.095	0.0220	-0.9985	0.0293	0.0000	0.0000	0.0000	-88.3466	-1.1041	-29.5587	39.29
0x50	 15:39:10.105	0.0176	-1.0000	0.0303	0.0000	0.0000	0.0000	-88.3466	-1.1096	-29.5587	39.29
0x50	 15:39:10.115	0.0176	-1.0000	0.0303	0.0000	0.4272	0.3662	-88.3466	-1.1041	-29.5642	39.28
0x50	 15:39:10.138	0.0107	-1.0000	0.0322	0.0000	0.4272	0.3662	-88.3466	-1.0986	-29.5697	39.28
0x50	 15:39:10.138	0.0107	-1.0000	0.0322	-0.2441	0.3052	0.1831	-88.3466	-1.0931	-29.5752	39.28
0x50	 15:39:10.144	0.0166	-0.9995	0.0293	-0.2441	0.3052	0.1831	-88.3466	-1.0876	-29.5752	39.28
0x50	 15:39:10.154	0.0166	-0.9995	0.0293	-0.2441	0.0000	0.0000	-88.3521	-1.0822	-29.5752	39.29
0x50	 15:39:10.164	0.0229	-0.9985	0.0273	-0.2441	0.0000	0.0000	-88.3521	-1.0822	-29.5752	39.29
0x50	 15:39:10.174	0.0229	-0.9985	0.0273	0.0000	0.0000	0.0000	-88.3521	-1.0822	-29.5752	39.29
0x50	 15:39:10.184	0.0195	-0.9980	0.0278	0.0000	0.0000	0.0000	-88.3521	-1.0876	-29.5752	39.29
0x50	 15:39:10.194	0.0195	-0.9980	0.0278	0.0000	0.4883	0.3662	-88.3521	-1.0822	-29.5807	39.29
0x50	 15:39:10.204	0.0176	-1.0000	0.0298	0.0000	0.4883	0.3662	-88.3521	-1.0822	-29.5862	39.29
0x50	 15:39:10.214	0.0176	-1.0000	0.0298	-0.2441	0.1831	0.3052	-88.3575	-1.0767	-29.5862	39.29
0x50	 15:39:10.224	0.0205	-0.9990	0.0288	-0.2441	0.1831	0.3052	-88.3575	-1.0712	-29.5862	39.29
0x50	 15:39:10.234	0.0205	-0.9990	0.0288	-0.3052	0.0000	0.0000	-88.3575	-1.0712	-29.5862	39.29
0x50	 15:39:10.244	0.0200	-1.0010	0.0273	-0.3052	0.0000	0.0000	-88.3630	-1.0767	-29.5862	39.29
0x50	 15:39:10.254	0.0200	-1.0010	0.0273	-0.2441	0.0000	0.0000	-88.3685	-1.0767	-29.5862	39.28
0x50	 15:39:10.264	0.0200	-1.0015	0.0283	-0.2441	0.0000	0.0000	-88.3685	-1.0767	-29.5862	39.28
0x50	 15:39:10.274	0.0200	-1.0015	0.0283	-0.1831	0.0000	0.0000	-88.3685	-1.0767	-29.5862	39.29
0x50	 15:39:10.284	0.0200	-1.0024	0.0308	-0.1831	0.0000	0.0000	-88.3740	-1.0767	-29.5862	39.29
0x50	 15:39:10.294	0.0200	-1.0024	0.0308	-0.1831	0.0000	0.0000	-88.3740	-1.0767	-29.5862	39.29
0x50	 15:39:10.304	0.0239	-1.0010	0.0283	-0.1831	0.0000	0.0000	-88.3740	-1.0767	-29.5862	39.29
0x50	 15:39:10.314	0.0239	-1.0010	0.0283	-0.1831	0.0000	0.0000	-88.3740	-1.0822	-29.5862	39.30
0x50	 15:39:10.324	0.0210	-1.0010	0.0283	-0.1831	0.0000	0.0000	-88.3795	-1.0822	-29.5862	39.30
0x50	 15:39:10.343	0.0210	-1.0010	0.0283	0.0000	0.3662	0.0000	-88.3795	-1.0876	-29.5917	39.28
0x50	 15:39:10.343	0.0181	-1.0000	0.0298	0.0000	0.3662	0.0000	-88.3795	-1.0876	-29.5972	39.28
0x50	 15:39:10.353	0.0181	-1.0000	0.0298	0.0000	0.0000	0.0000	-88.3740	-1.0876	-29.5972	39.29
0x50	 15:39:10.364	0.0171	-1.0010	0.0298	0.0000	0.0000	0.0000	-88.3740	-1.0876	-29.5972	39.29
0x50	 15:39:10.374	0.0171	-1.0010	0.0298	0.0000	0.0000	0.0000	-88.3740	-1.0822	-29.5972	39.29
0x50	 15:39:10.383	0.0161	-0.9966	0.0303	0.0000	0.0000	0.0000	-88.3740	-1.0822	-29.5972	39.29
0x50	 15:39:10.393	0.0161	-0.9966	0.0303	0.0000	-0.3662	-0.1831	-88.3740	-1.0822	-29.5917	39.28
0x50	 15:39:10.402	0.0190	-0.9985	0.0259	0.0000	-0.3662	-0.1831	-88.3740	-1.0822	-29.5862	39.28
0x50	 15:39:10.412	0.0190	-0.9985	0.0259	0.0000	-0.1831	-0.3052	-88.3740	-1.0876	-29.5862	39.29
0x50	 15:39:10.422	0.0229	-0.9980	0.0254	0.0000	-0.1831	-0.3052	-88.3740	-1.0876	-29.5862	39.29
0x50	 15:39:10.433	0.0229	-0.9980	0.0254	0.0000	-0.3052	-0.1831	-88.3740	-1.0931	-29.5807	39.29
0x50	 15:39:10.443	0.0220	-1.0044	0.0234	0.0000	-0.3052	-0.1831	-88.3795	-1.0986	-29.5807	39.29
