StartTime: 2021-11-13 15:55:34.949
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 15:55:34.949	-0.0059	-0.9985	-0.0195	-0.3052	-0.3662	-0.6714	-91.1700	0.3296	-13.3429	39.72
0x50	 15:55:34.949	-0.0049	-0.9976	-0.0176	-0.3052	-0.3662	-0.6714	-91.1700	0.3241	-13.3374	39.72
0x50	 15:55:34.950	-0.0049	-0.9976	-0.0176	-0.2441	0.0000	-0.6104	-91.1700	0.3131	-13.3374	39.73
0x50	 15:55:34.959	-0.0039	-0.9980	-0.0186	-0.2441	0.0000	-0.6104	-91.1755	0.3076	-13.3374	39.73
0x50	 15:55:34.970	-0.0039	-0.9980	-0.0186	-0.2441	0.7935	-0.3052	-91.1755	0.3021	-13.3429	39.72
0x50	 15:55:34.979	-0.0059	-0.9976	-0.0190	-0.2441	0.7935	-0.3052	-91.1755	0.3021	-13.3539	39.72
0x50	 15:55:34.990	-0.0059	-0.9976	-0.0190	0.1831	1.0986	0.0000	-91.1755	0.3021	-13.3649	39.73
0x50	 15:55:34.999	-0.0068	-0.9961	-0.0151	0.1831	1.0986	0.0000	-91.1700	0.3021	-13.3759	39.73
0x50	 15:55:35.009	-0.0068	-0.9961	-0.0151	0.0000	1.4648	0.0000	-91.1700	0.3021	-13.3868	39.73
0x50	 15:55:35.029	-0.0068	-0.9980	-0.0181	0.0000	1.4648	0.0000	-91.1646	0.3021	-13.4033	39.73
0x50	 15:55:35.029	-0.0068	-0.9980	-0.0181	0.3662	1.9531	0.4272	-91.1591	0.3076	-13.4253	39.73
0x50	 15:55:35.039	-0.0088	-0.9980	-0.0229	0.3662	1.9531	0.4272	-91.1536	0.3131	-13.4418	39.73
0x50	 15:55:35.049	-0.0088	-0.9980	-0.0229	0.6714	2.4414	0.6714	-91.1481	0.3186	-13.4692	39.73
0x50	 15:55:35.059	-0.0132	-0.9985	-0.0239	0.6714	2.4414	0.6714	-91.1426	0.3296	-13.4912	39.73
0x50	 15:55:35.069	-0.0132	-0.9985	-0.0239	0.6714	2.5024	0.6714	-91.1426	0.3351	-13.5187	39.72
0x50	 15:55:35.079	-0.0161	-0.9980	-0.0215	0.6714	2.5024	0.6714	-91.1371	0.3461	-13.5406	39.72
0x50	 15:55:35.089	-0.0161	-0.9980	-0.0215	0.4272	2.5635	0.6714	-91.1316	0.3625	-13.5681	39.72
0x50	 15:55:35.099	-0.0190	-0.9990	-0.0215	0.4272	2.5635	0.6714	-91.1316	0.3735	-13.5956	39.72
0x50	 15:55:35.109	-0.0190	-0.9990	-0.0215	0.4272	2.5024	0.6714	-91.1261	0.3845	-13.6176	39.73
0x50	 15:55:35.119	-0.0146	-0.9976	-0.0225	0.4272	2.5024	0.6714	-91.1261	0.3955	-13.6450	39.73
0x50	 15:55:35.129	-0.0146	-0.9976	-0.0225	0.3662	2.1362	0.9155	-91.1206	0.4120	-13.6670	39.74
0x50	 15:55:35.139	-0.0156	-0.9985	-0.0229	0.3662	2.1362	0.9155	-91.1206	0.4230	-13.6890	39.74
0x50	 15:55:35.149	-0.0156	-0.9985	-0.0229	0.0000	1.6479	1.0986	-91.1206	0.4395	-13.7054	39.72
0x50	 15:55:35.159	-0.0093	-0.9956	-0.0210	0.0000	1.6479	1.0986	-91.1261	0.4559	-13.7219	39.72
0x50	 15:55:35.169	-0.0093	-0.9956	-0.0210	0.0000	0.7324	1.3428	-91.1261	0.4669	-13.7274	39.73
0x50	 15:55:35.179	-0.0078	-0.9980	-0.0220	0.0000	0.7324	1.3428	-91.1261	0.4834	-13.7384	39.73
0x50	 15:55:35.189	-0.0078	-0.9980	-0.0220	-0.2441	1.2817	1.5259	-91.1316	0.4944	-13.7494	39.73
0x50	 15:55:35.199	-0.0088	-1.0020	-0.0220	-0.2441	1.2817	1.5259	-91.1316	0.5109	-13.7604	39.73
0x50	 15:55:35.209	-0.0088	-1.0020	-0.0220	0.0000	2.0752	1.4648	-91.1371	0.5273	-13.7823	39.74
