StartTime: 2021-11-11 13:56:29.086
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 13:56:29.086	-0.1104	-1.0015	-0.0283	0.0000	0.0000	0.0000	-91.6150	6.3556	-0.6262	36.86
0x50	 13:56:29.086	-0.1104	-1.0015	-0.0283	0.0000	0.0000	0.0000	-91.6150	6.3556	-0.6262	36.85
0x50	 13:56:29.086	-0.1104	-1.0010	-0.0283	0.0000	0.0000	0.0000	-91.6150	6.3556	-0.6262	36.85
0x50	 13:56:29.092	-0.1104	-1.0010	-0.0283	0.0000	0.0000	0.0000	-91.6150	6.3556	-0.6262	36.84
0x50	 13:56:29.102	-0.1108	-1.0000	-0.0273	0.0000	0.0000	0.0000	-91.6150	6.3556	-0.6262	36.84
0x50	 13:56:29.138	-0.1108	-1.0000	-0.0273	0.0000	-0.2441	0.0000	-91.6150	6.3556	-0.6262	36.85
0x50	 13:56:29.138	-0.1055	-1.0000	-0.0283	0.0000	-0.2441	0.0000	-91.6150	6.3501	-0.6207	36.85
0x50	 13:56:29.138	-0.1055	-1.0000	-0.0283	0.4883	0.0000	0.4883	-91.6095	6.3556	-0.6207	36.85
0x50	 13:56:29.142	-0.1045	-0.9985	-0.0298	0.4883	0.0000	0.4883	-91.6040	6.3556	-0.6207	36.85
0x50	 13:56:29.152	-0.1045	-0.9985	-0.0298	0.9155	1.0986	0.7935	-91.5985	6.3611	-0.6317	36.85
0x50	 13:56:29.162	-0.1040	-0.9932	-0.0313	0.9155	1.0986	0.7935	-91.5875	6.3611	-0.6482	36.85
0x50	 13:56:29.172	-0.1040	-0.9932	-0.0313	1.7090	2.8076	1.0376	-91.5765	6.3666	-0.6757	36.85
0x50	 13:56:29.182	-0.1079	-0.9922	-0.0322	1.7090	2.8076	1.0376	-91.5656	6.3721	-0.7031	36.85
0x50	 13:56:29.192	-0.1079	-0.9922	-0.0322	2.4414	4.0894	1.2817	-91.5491	6.3831	-0.7416	36.85
0x50	 13:56:29.202	-0.1182	-1.0024	-0.0317	2.4414	4.0894	1.2817	-91.5326	6.3940	-0.7855	36.85
0x50	 13:56:29.213	-0.1182	-1.0024	-0.0317	2.8076	4.7607	1.1597	-91.5106	6.4050	-0.8350	36.85
0x50	 13:56:29.223	-0.1147	-1.0132	-0.0317	2.8076	4.7607	1.1597	-91.4941	6.4215	-0.8844	36.85
0x50	 13:56:29.232	-0.1147	-1.0132	-0.0317	2.6855	5.3711	0.9766	-91.4777	6.4270	-0.9338	36.84
0x50	 13:56:29.242	-0.1084	-1.0093	-0.0308	2.6855	5.3711	0.9766	-91.4612	6.4380	-0.9888	36.84
0x50	 13:56:29.252	-0.1084	-1.0093	-0.0308	2.3804	6.3477	1.0376	-91.4447	6.4435	-1.0547	36.84
0x50	 13:56:29.262	-0.1006	-0.9985	-0.0308	2.3804	6.3477	1.0376	-91.4337	6.4490	-1.1206	36.84
0x50	 13:56:29.295	-0.1006	-0.9985	-0.0308	1.9531	6.7139	0.9766	-91.4227	6.4490	-1.1865	36.85
0x50	 13:56:29.295	-0.1001	-0.9878	-0.0273	1.9531	6.7139	0.9766	-91.4172	6.4490	-1.2524	36.85
0x50	 13:56:29.295	-0.1001	-0.9878	-0.0273	1.4648	6.7139	1.2817	-91.4117	6.4545	-1.3239	36.85
0x50	 13:56:29.302	-0.1123	-0.9834	-0.0200	1.4648	6.7139	1.2817	-91.4063	6.4600	-1.3898	36.85
0x50	 13:56:29.312	-0.1123	-0.9834	-0.0200	1.0376	5.5542	1.2207	-91.3953	6.4709	-1.4447	36.84
0x50	 13:56:29.322	-0.1201	-0.9873	-0.0156	1.0376	5.5542	1.2207	-91.3898	6.4819	-1.5051	36.84
0x50	 13:56:29.332	-0.1201	-0.9873	-0.0156	0.7935	4.3335	1.1597	-91.3843	6.4984	-1.5436	36.85
0x50	 13:56:29.342	-0.1270	-0.9980	-0.0161	0.7935	4.3335	1.1597	-91.3733	6.5094	-1.5875	36.85
0x50	 13:56:29.352	-0.1270	-0.9980	-0.0161	0.9155	3.9673	1.1597	-91.3678	6.5314	-1.6315	36.85
0x50	 13:56:29.362	-0.1270	-1.0127	-0.0171	0.9155	3.9673	1.1597	-91.3568	6.5479	-1.6699	36.85
0x50	 13:56:29.372	-0.1270	-1.0127	-0.0171	1.4648	3.2349	1.0376	-91.3458	6.5643	-1.7029	36.84
0x50	 13:56:29.382	-0.1235	-1.0181	-0.0229	1.4648	3.2349	1.0376	-91.3293	6.5753	-1.7358	36.84
0x50	 13:56:29.392	-0.1235	-1.0181	-0.0229	2.0142	1.8311	0.6104	-91.3129	6.5863	-1.7523	36.85
0x50	 13:56:29.402	-0.1177	-1.0107	-0.0259	2.0142	1.8311	0.6104	-91.2909	6.5973	-1.7743	36.85
0x50	 13:56:29.412	-0.1177	-1.0107	-0.0259	1.8311	0.3052	0.2441	-91.2744	6.5973	-1.7743	36.84
0x50	 13:56:29.422	-0.1147	-0.9985	-0.0225	1.8311	0.3052	0.2441	-91.2579	6.6028	-1.7798	36.84
0x50	 13:56:29.432	-0.1147	-0.9985	-0.0225	1.0986	-0.3052	0.2441	-91.2469	6.6028	-1.7743	36.84
0x50	 13:56:29.442	-0.1182	-0.9888	-0.0210	1.0986	-0.3052	0.2441	-91.2360	6.6028	-1.7743	36.84
0x50	 13:56:29.453	-0.1182	-0.9888	-0.0210	0.3662	-0.8545	0.4272	-91.2360	6.6138	-1.7633	36.84
0x50	 13:56:29.463	-0.1196	-0.9897	-0.0278	0.3662	-0.8545	0.4272	-91.2305	6.6193	-1.7578	36.84
0x50	 13:56:29.473	-0.1196	-0.9897	-0.0278	0.4883	-1.2207	0.4883	-91.2250	6.6248	-1.7468	36.84
0x50	 13:56:29.512	-0.1235	-0.9951	-0.0366	0.4883	-1.2207	0.4883	-91.2250	6.6357	-1.7303	36.84
0x50	 13:56:29.512	-0.1235	-0.9951	-0.0366	1.3428	-2.2583	0.3052	-91.2195	6.6412	-1.7084	36.85
0x50	 13:56:29.512	-0.1206	-0.9927	-0.0322	1.3428	-2.2583	0.3052	-91.2085	6.6522	-1.6864	36.85
0x50	 13:56:29.513	-0.1206	-0.9927	-0.0322	1.9531	-3.6011	0.2441	-91.1920	6.6577	-1.6479	36.84
