StartTime: 2021-11-13 15:20:43.659
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 15:20:43.659	0.0527	-0.9761	0.2197	0.3052	1.1597	0.0000	-77.4536	-2.9938	-1.5216	38.15
0x50	 15:20:43.659	0.0498	-0.9761	0.2202	0.3052	1.1597	0.0000	-77.4481	-2.9883	-1.5326	38.15
0x50	 15:20:43.681	0.0498	-0.9761	0.2202	0.4883	0.3662	0.0000	-77.4426	-2.9883	-1.5381	38.13
0x50	 15:20:43.681	0.0464	-0.9756	0.2197	0.4883	0.3662	0.0000	-77.4371	-2.9828	-1.5381	38.13
0x50	 15:20:43.683	0.0464	-0.9756	0.2197	0.5493	0.0000	0.0000	-77.4261	-2.9828	-1.5381	38.14
0x50	 15:20:43.693	0.0488	-0.9785	0.2178	0.5493	0.0000	0.0000	-77.4207	-2.9773	-1.5381	38.14
0x50	 15:20:43.703	0.0488	-0.9785	0.2178	0.5493	-0.6714	0.0000	-77.4152	-2.9773	-1.5326	38.16
0x50	 15:20:43.713	0.0527	-0.9741	0.2168	0.5493	-0.6714	0.0000	-77.4152	-2.9773	-1.5271	38.16
0x50	 15:20:43.723	0.0527	-0.9741	0.2168	0.4883	-0.6104	0.0000	-77.4097	-2.9773	-1.5216	38.13
0x50	 15:20:43.733	0.0576	-0.9727	0.2178	0.4883	-0.6104	0.0000	-77.4042	-2.9828	-1.5161	38.13
0x50	 15:20:43.742	0.0576	-0.9727	0.2178	0.3052	-0.6714	0.0000	-77.3987	-2.9883	-1.5106	38.14
0x50	 15:20:43.752	0.0547	-0.9766	0.2148	0.3052	-0.6714	0.0000	-77.3987	-2.9883	-1.4996	38.14
0x50	 15:20:43.762	0.0547	-0.9766	0.2148	0.2441	-0.1831	0.2441	-77.3987	-2.9883	-1.4996	38.13
0x50	 15:20:43.772	0.0562	-0.9771	0.2178	0.2441	-0.1831	0.2441	-77.3987	-2.9883	-1.4996	38.13
0x50	 15:20:43.783	0.0562	-0.9771	0.2178	0.0000	1.0376	0.2441	-77.3987	-2.9883	-1.5051	38.15
0x50	 15:20:43.792	0.0532	-0.9780	0.2158	0.0000	1.0376	0.2441	-77.3987	-2.9828	-1.5161	38.15
0x50	 15:20:43.802	0.0532	-0.9780	0.2158	0.0000	1.1597	0.2441	-77.3987	-2.9828	-1.5271	38.14
0x50	 15:20:43.824	0.0503	-0.9780	0.2168	0.0000	1.1597	0.2441	-77.3987	-2.9773	-1.5381	38.14
0x50	 15:20:43.824	0.0503	-0.9780	0.2168	0.0000	1.4038	0.0000	-77.3987	-2.9718	-1.5491	38.14
0x50	 15:20:43.832	0.0449	-0.9741	0.2197	0.0000	1.4038	0.0000	-77.3987	-2.9663	-1.5656	38.14
0x50	 15:20:43.842	0.0449	-0.9741	0.2197	0.0000	0.8545	0.0000	-77.3987	-2.9608	-1.5710	38.14
0x50	 15:20:43.852	0.0449	-0.9771	0.2212	0.0000	0.8545	0.0000	-77.3987	-2.9553	-1.5820	38.14
0x50	 15:20:43.862	0.0449	-0.9771	0.2212	0.0000	-0.1831	-0.4272	-77.3932	-2.9553	-1.5820	38.13
0x50	 15:20:43.872	0.0493	-0.9800	0.2202	0.0000	-0.1831	-0.4272	-77.3932	-2.9553	-1.5820	38.13
0x50	 15:20:43.882	0.0493	-0.9800	0.2202	0.0000	-0.2441	-0.5493	-77.3932	-2.9608	-1.5765	38.12
0x50	 15:20:43.892	0.0586	-0.9829	0.2192	0.0000	-0.2441	-0.5493	-77.3932	-2.9663	-1.5765	38.12
0x50	 15:20:43.902	0.0586	-0.9829	0.2192	0.0000	0.6104	-0.3662	-77.3932	-2.9718	-1.5820	38.14
0x50	 15:20:43.912	0.0776	-0.9795	0.2212	0.0000	0.6104	-0.3662	-77.3932	-2.9773	-1.5930	38.14
0x50	 15:20:43.922	0.0776	-0.9795	0.2212	0.0000	4.8218	0.0000	-77.3877	-2.9828	-1.6370	38.14
0x50	 15:20:43.931	0.0571	-0.9790	0.2197	0.0000	4.8218	0.0000	-77.3877	-2.9883	-1.6864	38.14
