StartTime: 2021-11-13 15:44:25.681
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 15:44:25.681	0.0029	-0.4478	0.9082	-29.6021	15.3809	-5.5542	-25.6201	0.1813	-18.9020	39.23
0x50	 15:44:25.681	-0.0283	-0.4531	0.9067	-29.6021	15.3809	-5.5542	-25.9222	0.2911	-19.0173	39.23
0x50	 15:44:25.685	-0.0283	-0.4531	0.9067	-29.5410	11.6577	-6.4697	-26.2189	0.3845	-19.1272	39.21
0x50	 15:44:25.695	-0.0083	-0.4648	0.8745	-29.5410	11.6577	-6.4697	-26.5155	0.4724	-19.2371	39.21
0x50	 15:44:25.705	-0.0083	-0.4648	0.8745	-29.3579	4.8828	-6.2866	-26.8231	0.4834	-19.3140	39.24
0x50	 15:44:25.730	0.0356	-0.4717	0.8364	-29.3579	4.8828	-6.2866	-27.1252	0.4999	-19.3909	39.24
0x50	 15:44:25.730	0.0356	-0.4717	0.8364	-30.0903	6.7139	-5.9204	-27.4438	0.5054	-19.4733	39.21
0x50	 15:44:25.734	-0.0078	-0.4761	0.8496	-30.0903	6.7139	-5.9204	-27.7625	0.5109	-19.5612	39.21
0x50	 15:44:25.744	-0.0078	-0.4761	0.8496	-31.5552	12.0850	-6.1646	-28.0920	0.5878	-19.6710	39.21
0x50	 15:44:25.755	-0.0415	-0.4751	0.8550	-31.5552	12.0850	-6.1646	-28.4161	0.6647	-19.7809	39.21
0x50	 15:44:25.764	-0.0415	-0.4751	0.8550	-33.6304	10.0708	-6.6528	-28.7567	0.7361	-19.8853	39.20
0x50	 15:44:25.774	-0.0166	-0.4873	0.8271	-33.6304	10.0708	-6.6528	-29.0973	0.8130	-19.9951	39.20
0x50	 15:44:25.783	-0.0166	-0.4873	0.8271	-34.4849	7.0801	-6.7139	-29.4543	0.8405	-20.0885	39.21
0x50	 15:44:25.793	0.0083	-0.4961	0.8047	-34.4849	7.0801	-6.7139	-29.8059	0.8734	-20.1819	39.21
0x50	 15:44:25.803	0.0083	-0.4961	0.8047	-36.4380	10.9253	-7.6904	-30.1849	0.9119	-20.3027	39.21
0x50	 15:44:25.814	-0.0205	-0.5093	0.8247	-36.4380	10.9253	-7.6904	-30.5640	0.9558	-20.4236	39.21
0x50	 15:44:25.823	-0.0205	-0.5093	0.8247	-38.1470	16.3574	-8.7280	-30.9540	1.0547	-20.5829	39.21
0x50	 15:44:25.833	-0.0464	-0.5259	0.8335	-38.1470	16.3574	-8.7280	-31.3440	1.1481	-20.7422	39.21
0x50	 15:44:25.843	-0.0464	-0.5259	0.8335	-38.8184	15.5640	-8.6670	-31.7395	1.2524	-20.8960	39.22
0x50	 15:44:25.872	-0.0298	-0.5508	0.8125	-38.8184	15.5640	-8.6670	-32.1350	1.3513	-21.0498	39.22
0x50	 15:44:25.873	-0.0298	-0.5508	0.8125	-38.5132	13.3057	-7.6294	-32.5360	1.4282	-21.1871	39.21
0x50	 15:44:25.873	-0.0156	-0.5591	0.8066	-38.5132	13.3057	-7.6294	-32.9370	1.4996	-21.3245	39.21
0x50	 15:44:25.883	-0.0156	-0.5591	0.8066	-39.1235	15.1367	-7.0801	-33.3490	1.5820	-21.4618	39.22
0x50	 15:44:25.893	-0.0474	-0.5674	0.8271	-39.1235	15.1367	-7.0801	-33.7500	1.6644	-21.6046	39.22
0x50	 15:44:25.903	-0.0474	-0.5674	0.8271	-39.4897	16.0522	-6.5308	-34.1510	1.7688	-21.7474	39.22
0x50	 15:44:25.914	-0.0625	-0.5830	0.8408	-39.4897	16.0522	-6.5308	-34.5520	1.8732	-21.8958	39.22
0x50	 15:44:25.923	-0.0625	-0.5830	0.8408	-39.2456	11.1694	-6.1646	-34.9475	1.9446	-22.0111	39.21
0x50	 15:44:25.933	-0.0327	-0.6025	0.8154	-39.2456	11.1694	-6.1646	-35.3375	2.0160	-22.1210	39.21
0x50	 15:44:25.943	-0.0327	-0.6025	0.8154	-38.8794	9.1553	-6.7139	-35.7385	2.0490	-22.2308	39.21
0x50	 15:44:25.952	-0.0356	-0.6240	0.7925	-38.8794	9.1553	-6.7139	-36.1340	2.0819	-22.3407	39.21
0x50	 15:44:25.963	-0.0356	-0.6240	0.7925	-38.3911	11.9019	-6.8359	-36.5350	2.1368	-22.4670	39.21
0x50	 15:44:25.973	-0.0391	-0.6328	0.8047	-38.3911	11.9019	-6.8359	-36.9415	2.1918	-22.5879	39.21
0x50	 15:44:25.983	-0.0391	-0.6328	0.8047	-38.3301	12.7563	-6.5918	-37.3370	2.2522	-22.7197	39.21
0x50	 15:44:25.993	-0.0391	-0.6328	0.8047	-38.3301	12.7563	-6.5918	-37.7271	2.3126	-22.8516	39.21
0x50	 15:44:26.003	-0.0537	-0.6260	0.8228	-38.3301	12.7563	-6.5918	-38.1171	2.3730	-22.9779	39.21
0x50	 15:44:26.013	-0.0537	-0.6260	0.8228	-39.3066	12.2681	-6.8970	-38.5016	2.4335	-23.1097	39.21
0x50	 15:44:26.023	-0.0659	-0.6377	0.8066	-39.3066	12.2681	-6.8970	-38.8861	2.4884	-23.2416	39.21
0x50	 15:44:26.033	-0.0659	-0.6377	0.8066	-39.1235	10.0098	-7.2632	-39.2706	2.5323	-23.3624	39.21
0x50	 15:44:26.044	-0.0493	-0.6646	0.7686	-39.1235	10.0098	-7.2632	-39.6552	2.5763	-23.4778	39.21
0x50	 15:44:26.053	-0.0493	-0.6646	0.7686	-37.9028	8.1177	-7.3853	-40.0507	2.5928	-23.5876	39.22
0x50	 15:44:26.081	-0.0322	-0.6782	0.7544	-37.9028	8.1177	-7.3853	-40.4352	2.6093	-23.6975	39.22
0x50	 15:44:26.081	-0.0322	-0.6782	0.7544	-37.3535	9.2773	-8.1177	-40.8252	2.6202	-23.8184	39.21
0x50	 15:44:26.082	-0.0571	-0.6680	0.7822	-37.3535	9.2773	-8.1177	-41.2152	2.6257	-23.9392	39.21
0x50	 15:44:26.092	-0.0571	-0.6680	0.7822	-37.8418	9.0942	-8.5449	-41.5887	2.6422	-24.0656	39.21
0x50	 15:44:26.102	-0.0625	-0.6836	0.7759	-37.8418	9.0942	-8.5449	-41.9568	2.6587	-24.1919	39.21
0x50	 15:44:26.112	-0.0625	-0.6836	0.7759	-36.9263	6.2866	-7.9956	-42.3193	2.6642	-24.2908	39.22
0x50	 15:44:26.122	-0.0352	-0.7026	0.7397	-36.9263	6.2866	-7.9956	-42.6819	2.6642	-24.3951	39.22
0x50	 15:44:26.132	-0.0352	-0.7026	0.7397	-36.1328	5.5542	-7.5073	-43.0499	2.6477	-24.4885	39.22
0x50	 15:44:26.142	-0.0249	-0.7090	0.7261	-36.1328	5.5542	-7.5073	-43.4180	2.6312	-24.5819	39.22
0x50	 15:44:26.152	-0.0249	-0.7090	0.7261	-36.5601	10.9253	-8.1787	-43.7970	2.6422	-24.7137	39.21
0x50	 15:44:26.162	-0.0654	-0.7012	0.7632	-36.5601	10.9253	-8.1787	-44.1705	2.6477	-24.8511	39.21
0x50	 15:44:26.172	-0.0654	-0.7012	0.7632	-36.5601	11.9019	-7.9956	-44.5221	2.6862	-24.9884	39.21
0x50	 15:44:26.182	-0.0776	-0.7197	0.7607	-36.5601	11.9019	-7.9956	-44.8682	2.7246	-25.1312	39.21
0x50	 15:44:26.192	-0.0776	-0.7197	0.7607	-34.7290	7.2632	-7.2632	-45.2032	2.7411	-25.2301	39.20
0x50	 15:44:26.202	-0.0571	-0.7407	0.7227	-34.7290	7.2632	-7.2632	-45.5328	2.7576	-25.3345	39.20
0x50	 15:44:26.212	-0.0571	-0.7407	0.7227	-32.5317	3.1738	-6.4697	-45.8624	2.7356	-25.4059	39.21
