StartTime: 2021-11-13 15:29:38.220
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 15:29:38.220	-0.0742	-0.9922	0.0352	0.2441	0.0000	0.0000	-88.0005	4.4879	-7.0203	38.99
0x50	 15:29:38.231	-0.0791	-0.9966	0.0356	0.2441	0.0000	0.0000	-88.0005	4.4879	-7.0203	38.99
0x50	 15:29:38.241	-0.0791	-0.9966	0.0356	0.3662	-0.1831	0.1831	-87.9950	4.4879	-7.0203	38.98
0x50	 15:29:38.251	-0.0767	-0.9971	0.0342	0.3662	-0.1831	0.1831	-87.9895	4.4879	-7.0148	38.98
0x50	 15:29:38.260	-0.0767	-0.9971	0.0342	0.4272	-0.4883	0.1831	-87.9840	4.4879	-7.0093	38.98
0x50	 15:29:38.270	-0.0747	-0.9971	0.0303	0.4272	-0.4883	0.1831	-87.9840	4.4934	-7.0038	38.98
0x50	 15:29:38.280	-0.0747	-0.9971	0.0303	0.2441	-0.1831	0.2441	-87.9840	4.4934	-7.0038	38.99
0x50	 15:29:38.290	-0.0747	-0.9971	0.0317	0.2441	-0.1831	0.2441	-87.9840	4.4934	-7.0038	38.99
0x50	 15:29:38.300	-0.0747	-0.9971	0.0317	0.0000	0.2441	0.0000	-87.9840	4.4879	-7.0038	38.98
0x50	 15:29:38.310	-0.0757	-0.9946	0.0352	0.0000	0.2441	0.0000	-87.9840	4.4879	-7.0093	38.98
0x50	 15:29:38.330	-0.0757	-0.9946	0.0352	0.0000	0.3662	0.0000	-87.9840	4.4879	-7.0093	38.99
0x50	 15:29:38.330	-0.0757	-0.9951	0.0342	0.0000	0.3662	0.0000	-87.9840	4.4824	-7.0148	38.99
0x50	 15:29:38.340	-0.0757	-0.9951	0.0342	0.0000	0.1831	0.2441	-87.9895	4.4879	-7.0148	38.99
0x50	 15:29:38.350	-0.0757	-0.9990	0.0337	0.0000	0.1831	0.2441	-87.9895	4.4879	-7.0203	38.99
0x50	 15:29:38.360	-0.0757	-0.9990	0.0337	0.3052	0.5493	0.2441	-87.9840	4.4879	-7.0258	38.99
0x50	 15:29:38.370	-0.0693	-1.0078	0.0322	0.3052	0.5493	0.2441	-87.9840	4.4879	-7.0313	38.99
0x50	 15:29:38.380	-0.0693	-1.0078	0.0322	0.5493	0.0000	0.2441	-87.9785	4.4879	-7.0313	38.99
0x50	 15:29:38.390	-0.0522	-1.0068	0.0298	0.5493	0.0000	0.2441	-87.9785	4.4824	-7.0313	38.99
0x50	 15:29:38.400	-0.0522	-1.0068	0.0298	0.6714	0.0000	0.9155	-87.9730	4.4769	-7.0258	38.97
0x50	 15:29:38.410	-0.0459	-1.0068	0.0225	0.6714	0.0000	0.9155	-87.9675	4.4714	-7.0258	38.97
0x50	 15:29:38.419	-0.0459	-1.0068	0.0225	1.3428	4.8828	1.2207	-87.9675	4.4659	-7.0752	38.99
0x50	 15:29:38.429	-0.0571	-0.9995	0.0313	1.3428	4.8828	1.2207	-87.9675	4.4604	-7.1246	38.99
0x50	 15:29:38.439	-0.0571	-0.9995	0.0313	1.0376	5.4321	1.5869	-87.9620	4.4659	-7.1796	38.98
0x50	 15:29:38.449	-0.0635	-1.0049	0.0366	1.0376	5.4321	1.5869	-87.9565	4.4714	-7.2345	38.98
0x50	 15:29:38.459	-0.0635	-1.0049	0.0366	0.6714	7.7515	2.1362	-87.9565	4.4879	-7.3114	38.99
0x50	 15:29:38.469	-0.0557	-1.0137	0.0249	0.6714	7.7515	2.1362	-87.9565	4.5044	-7.3883	38.99
0x50	 15:29:38.479	-0.0557	-1.0137	0.0249	1.0986	7.8735	2.9907	-87.9565	4.5209	-7.4652	38.98
0x50	 15:29:38.490	-0.0742	-1.0083	0.0239	1.0986	7.8735	2.9907	-87.9565	4.5374	-7.5421	38.98
0x50	 15:29:38.499	-0.0742	-1.0083	0.0239	2.0142	8.1787	3.8452	-87.9510	4.5758	-7.6245	38.98
0x50	 15:29:38.509	-0.0991	-1.0034	0.0337	2.0142	8.1787	3.8452	-87.9456	4.6143	-7.7014	38.98
0x50	 15:29:38.538	-0.0991	-1.0034	0.0337	1.1597	6.1646	2.9297	-87.9401	4.6582	-7.7618	38.99
0x50	 15:29:38.538	-0.0850	-0.9971	0.0308	1.1597	6.1646	2.9297	-87.9346	4.6967	-7.8278	38.99
0x50	 15:29:38.539	-0.0850	-0.9971	0.0308	1.0986	5.3101	2.1973	-87.9291	4.7241	-7.8772	38.99
0x50	 15:29:38.549	-0.1021	-0.9888	0.0303	1.0986	5.3101	2.1973	-87.9291	4.7461	-7.9321	38.99
0x50	 15:29:38.559	-0.1021	-0.9888	0.0303	0.5493	7.0801	2.1973	-87.9291	4.7845	-7.9980	38.98
0x50	 15:29:38.569	-0.1108	-0.9839	0.0356	0.5493	7.0801	2.1973	-87.9346	4.8175	-8.0695	38.98
0x50	 15:29:38.579	-0.1108	-0.9839	0.0356	-0.1831	4.3335	2.3804	-87.9401	4.8615	-8.1134	38.99
0x50	 15:29:38.589	-0.0894	-0.9976	0.0327	-0.1831	4.3335	2.3804	-87.9456	4.8999	-8.1573	38.99
0x50	 15:29:38.598	-0.0894	-0.9976	0.0327	-0.2441	1.4648	2.8687	-87.9510	4.9329	-8.1683	38.99
0x50	 15:29:38.609	-0.0918	-0.9971	0.0356	-0.2441	1.4648	2.8687	-87.9565	4.9603	-8.1848	38.99
0x50	 15:29:38.619	-0.0918	-0.9971	0.0356	-0.1831	-0.8545	4.0283	-87.9565	5.0043	-8.1738	38.99
0x50	 15:29:38.629	-0.1011	-1.0059	0.0430	-0.1831	-0.8545	4.0283	-87.9565	5.0482	-8.1628	38.99
0x50	 15:29:38.639	-0.1011	-1.0059	0.0430	-1.0376	-4.3945	4.9438	-87.9620	5.1031	-8.1189	38.99
0x50	 15:29:38.648	-0.0913	-1.0195	0.0396	-1.0376	-4.3945	4.9438	-87.9620	5.1526	-8.0695	38.99
0x50	 15:29:38.659	-0.0913	-1.0195	0.0396	-1.5869	-7.9346	5.0659	-87.9675	5.2020	-7.9871	38.98
0x50	 15:29:38.669	-0.0820	-1.0239	0.0244	-1.5869	-7.9346	5.0659	-87.9730	5.2460	-7.9102	38.98
0x50	 15:29:38.679	-0.0820	-1.0239	0.0244	-0.9155	-10.0098	5.8594	-87.9785	5.2954	-7.8058	38.99
0x50	 15:29:38.689	-0.0542	-1.0225	0.0063	-0.9155	-10.0098	5.8594	-87.9895	5.3448	-7.7014	38.99
0x50	 15:29:38.699	-0.0542	-1.0225	0.0063	0.0000	-9.2773	7.3242	-87.9950	5.3888	-7.6080	38.99
0x50	 15:29:38.709	-0.0869	-1.0000	0.0049	0.0000	-9.2773	7.3242	-88.0005	5.4327	-7.5092	38.99
0x50	 15:29:38.719	-0.0869	-1.0000	0.0049	-0.1831	-6.1035	8.8501	-88.0170	5.5151	-7.4487	38.98
0x50	 15:29:38.741	-0.0781	-1.0210	0.0254	-0.1831	-6.1035	8.8501	-88.0280	5.5975	-7.3828	38.98
0x50	 15:29:38.742	-0.0781	-1.0210	0.0254	0.5493	-5.9814	9.4604	-88.0225	5.6744	-7.3224	38.99
0x50	 15:29:38.748	-0.1016	-1.0176	0.0337	0.5493	-5.9814	9.4604	-88.0170	5.7513	-7.2565	38.99
0x50	 15:29:38.757	-0.1016	-1.0176	0.0337	0.8545	-6.1035	10.9253	-88.0005	5.8612	-7.1906	38.98
0x50	 15:29:38.767	-0.1108	-1.0249	0.0264	0.8545	-6.1035	10.9253	-87.9895	5.9656	-7.1246	38.98
0x50	 15:29:38.778	-0.1108	-1.0249	0.0264	0.9766	-9.5215	12.5122	-87.9730	6.0864	-7.0258	38.99
0x50	 15:29:38.788	-0.1104	-1.0356	0.0205	0.9766	-9.5215	12.5122	-87.9565	6.2073	-6.9269	38.99
0x50	 15:29:38.798	-0.1104	-1.0356	0.0205	1.3428	-14.2212	15.0757	-87.9401	6.3501	-6.7786	38.98
0x50	 15:29:38.808	-0.1108	-1.0293	0.0234	1.3428	-14.2212	15.0757	-87.9181	6.4929	-6.6302	38.98
