StartTime: 2021-11-13 15:49:00.089
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 15:49:00.089	-0.0083	-0.9961	0.0703	0.0000	-0.3662	-0.2441	-86.1877	0.6372	-88.0334	39.28
0x50	 15:49:00.091	-0.0122	-0.9985	0.0723	0.0000	0.0000	0.0000	-86.1877	0.6372	-88.0334	39.29
0x50	 15:49:00.102	-0.0122	-0.9985	0.0723	0.0000	0.0000	0.0000	-86.1823	0.6372	-88.0334	39.29
0x50	 15:49:00.112	-0.0098	-0.9971	0.0679	0.0000	0.0000	0.1831	-86.1823	0.6372	-88.0334	39.30
0x50	 15:49:00.122	-0.0098	-0.9971	0.0679	0.0000	0.0000	0.1831	-86.1823	0.6372	-88.0334	39.30
0x50	 15:49:00.132	-0.0107	-0.9980	0.0649	0.0000	0.0000	0.4883	-86.1823	0.6427	-88.0334	39.29
0x50	 15:49:00.142	-0.0107	-0.9980	0.0649	0.0000	0.0000	0.4883	-86.1823	0.6482	-88.0334	39.29
0x50	 15:49:00.152	-0.0088	-1.0039	0.0635	0.0000	-0.6104	0.5493	-86.1823	0.6482	-88.0225	39.29
0x50	 15:49:00.162	-0.0088	-1.0039	0.0635	0.0000	-0.6104	0.5493	-86.1877	0.6537	-88.0170	39.29
0x50	 15:49:00.184	-0.0068	-0.9985	0.0669	0.0000	-0.3052	0.4272	-86.1877	0.6537	-88.0170	39.29
0x50	 15:49:00.184	-0.0068	-0.9985	0.0669	0.0000	-0.3052	0.4272	-86.1877	0.6592	-88.0115	39.29
0x50	 15:49:00.191	-0.0088	-0.9932	0.0688	-0.3052	0.2441	0.4272	-86.1877	0.6592	-88.0115	39.29
0x50	 15:49:00.201	-0.0088	-0.9932	0.0688	-0.3052	0.2441	0.4272	-86.1877	0.6647	-88.0170	39.29
0x50	 15:49:00.211	-0.0088	-0.9932	0.0688	-0.3052	0.2441	0.4272	-86.1877	0.6647	-88.0170	39.29
0x50	 15:49:00.221	-0.0117	-0.9995	0.0654	-0.2441	0.5493	0.3052	-86.1932	0.6702	-88.0225	39.29
0x50	 15:49:00.232	-0.0117	-0.9995	0.0654	-0.2441	0.5493	0.3052	-86.1987	0.6702	-88.0280	39.29
0x50	 15:49:00.241	-0.0073	-1.0015	0.0605	0.0000	0.6104	0.0000	-86.1987	0.6702	-88.0334	39.29
0x50	 15:49:00.251	-0.0073	-1.0015	0.0605	0.0000	0.6104	0.0000	-86.2042	0.6702	-88.0389	39.29
