StartTime: 2022-05-01 21:52:32.216
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 21:52:32.216	0.1050	-0.9946	0.0439	-0.6104	0.1831	0.0000	-87.8247	-5.9656	5.2075	36.93
0x50	 21:52:32.216	0.1035	-0.9966	0.0449	0.0000	-0.3052	0.3052	-87.8192	-5.9601	5.2130	36.93
0x50	 21:52:32.226	0.1035	-0.9966	0.0449	0.0000	-0.3052	0.3052	-87.8137	-5.9601	5.2130	36.93
0x50	 21:52:32.236	0.0981	-0.9966	0.0439	0.4883	-0.6104	0.3052	-87.8082	-5.9546	5.2240	36.92
0x50	 21:52:32.246	0.0981	-0.9966	0.0439	0.4883	-0.6104	0.3052	-87.7972	-5.9491	5.2295	36.92
0x50	 21:52:32.256	0.1016	-0.9961	0.0405	0.4883	-1.0986	0.3052	-87.7917	-5.9436	5.2405	36.92
0x50	 21:52:32.266	0.1016	-0.9961	0.0405	0.4883	-1.0986	0.3052	-87.7917	-5.9381	5.2515	36.92
0x50	 21:52:32.276	0.1060	-0.9966	0.0381	0.0000	-0.7324	0.1831	-87.7917	-5.9381	5.2570	36.93
0x50	 21:52:32.286	0.1060	-0.9966	0.0381	0.0000	-0.7324	0.1831	-87.7917	-5.9381	5.2625	36.93
0x50	 21:52:32.319	0.1064	-0.9980	0.0361	0.0000	-0.2441	0.0000	-87.7917	-5.9381	5.2679	36.93
0x50	 21:52:32.319	0.1064	-0.9980	0.0361	0.0000	-0.2441	0.0000	-87.7917	-5.9436	5.2679	36.93
0x50	 21:52:32.319	0.1069	-0.9980	0.0347	0.0000	0.0000	0.0000	-87.7972	-5.9436	5.2679	36.92
0x50	 21:52:32.326	0.1069	-0.9980	0.0347	0.0000	0.0000	0.0000	-87.7972	-5.9436	5.2679	36.92
0x50	 21:52:32.337	0.1074	-0.9951	0.0366	0.0000	-0.3662	0.1831	-87.8027	-5.9436	5.2734	36.93
0x50	 21:52:32.346	0.1074	-0.9951	0.0366	0.0000	-0.3662	0.1831	-87.8027	-5.9436	5.2789	36.93
0x50	 21:52:32.356	0.1079	-0.9956	0.0371	0.0000	0.0000	0.4272	-87.8027	-5.9436	5.2789	36.92
0x50	 21:52:32.366	0.1079	-0.9956	0.0371	0.0000	0.0000	0.4272	-87.8027	-5.9436	5.2789	36.92
0x50	 21:52:32.376	0.1045	-1.0010	0.0381	-0.2441	0.1831	0.3052	-87.8027	-5.9381	5.2734	36.93
0x50	 21:52:32.386	0.1045	-1.0010	0.0381	-0.2441	0.1831	0.3052	-87.8082	-5.9381	5.2734	36.93
0x50	 21:52:32.396	0.0996	-1.0000	0.0410	-0.2441	-0.2441	0.1831	-87.8082	-5.9326	5.2789	36.94
0x50	 21:52:32.406	0.0996	-1.0000	0.0410	-0.2441	-0.2441	0.1831	-87.8082	-5.9271	5.2789	36.94
0x50	 21:52:32.416	0.1060	-0.9976	0.0420	-0.2441	-0.6104	0.0000	-87.8082	-5.9271	5.2844	36.93
0x50	 21:52:32.426	0.1060	-0.9976	0.0420	-0.2441	-0.6104	0.0000	-87.8137	-5.9326	5.2899	36.93
0x50	 21:52:32.436	0.1064	-0.9961	0.0410	0.0000	0.3662	0.0000	-87.8082	-5.9326	5.2899	36.93
0x50	 21:52:32.446	0.1064	-0.9961	0.0410	0.0000	0.3662	0.0000	-87.8082	-5.9326	5.2844	36.93
0x50	 21:52:32.456	0.1016	-0.9976	0.0405	0.0000	0.3052	0.0000	-87.8027	-5.9326	5.2789	36.92
0x50	 21:52:32.466	0.1016	-0.9976	0.0405	0.0000	0.3052	0.0000	-87.8027	-5.9326	5.2789	36.92
0x50	 21:52:32.476	0.1040	-0.9961	0.0400	0.1831	-0.4272	0.1831	-87.8027	-5.9271	5.2844	36.93
0x50	 21:52:32.487	0.1040	-0.9961	0.0400	0.1831	-0.4272	0.1831	-87.7972	-5.9271	5.2844	36.93
0x50	 21:52:32.522	0.1050	-0.9971	0.0381	0.0000	-0.2441	0.1831	-87.7972	-5.9271	5.2899	36.93
0x50	 21:52:32.523	0.1050	-0.9971	0.0381	0.0000	-0.2441	0.1831	-87.7972	-5.9271	5.2899	36.93
0x50	 21:52:32.523	0.1030	-0.9990	0.0376	0.0000	-0.3052	0.0000	-87.8027	-5.9271	5.2954	36.93
0x50	 21:52:32.527	0.1030	-0.9990	0.0376	0.0000	-0.3052	0.0000	-87.8027	-5.9271	5.2954	36.93
0x50	 21:52:32.537	0.1021	-1.0000	0.0381	-0.1831	-0.7935	0.0000	-87.8027	-5.9271	5.3064	36.93
0x50	 21:52:32.547	0.1021	-1.0000	0.0381	-0.1831	-0.7935	0.0000	-87.8082	-5.9216	5.3119	36.93
0x50	 21:52:32.557	0.1084	-1.0000	0.0386	0.0000	-1.2817	0.0000	-87.8082	-5.9271	5.3284	36.93
0x50	 21:52:32.567	0.1084	-1.0000	0.0386	0.0000	-1.2817	0.0000	-87.8082	-5.9271	5.3394	36.93
0x50	 21:52:32.577	0.1099	-0.9976	0.0376	0.0000	-0.7324	0.0000	-87.8082	-5.9326	5.3448	36.93
0x50	 21:52:32.587	0.1099	-0.9976	0.0376	0.0000	-0.7324	0.0000	-87.8082	-5.9381	5.3558	36.93
0x50	 21:52:32.597	0.1064	-0.9980	0.0381	0.0000	-0.2441	0.0000	-87.8137	-5.9381	5.3558	36.93
0x50	 21:52:32.607	0.1064	-0.9980	0.0381	0.0000	-0.2441	0.0000	-87.8137	-5.9381	5.3613	36.93
0x50	 21:52:32.617	0.1035	-0.9966	0.0391	0.0000	-0.1831	0.0000	-87.8082	-5.9381	5.3613	36.92
0x50	 21:52:32.627	0.1035	-0.9966	0.0391	0.0000	-0.1831	0.0000	-87.8082	-5.9381	5.3613	36.92
