StartTime: 2021-11-13 15:57:55.787
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 15:57:55.787	-0.1250	-0.9922	-0.0093	0.0000	-0.4272	0.0000	-90.4285	7.2125	14.1064	39.79
0x50	 15:57:55.790	-0.1206	-0.9937	-0.0098	0.0000	-0.4272	0.0000	-90.4285	7.2125	14.1119	39.79
0x50	 15:57:55.800	-0.1206	-0.9937	-0.0098	0.0000	0.0000	0.0000	-90.4285	7.2070	14.1119	39.79
0x50	 15:57:55.810	-0.1226	-0.9927	-0.0088	0.0000	0.0000	0.0000	-90.4285	7.2070	14.1119	39.79
0x50	 15:57:55.821	-0.1226	-0.9927	-0.0088	0.1831	0.4883	0.0000	-90.4285	7.2070	14.1064	39.79
0x50	 15:57:55.831	-0.1265	-0.9902	-0.0068	0.1831	0.4883	0.0000	-90.4285	7.2015	14.1010	39.79
0x50	 15:57:55.840	-0.1265	-0.9902	-0.0068	0.0000	0.4883	0.0000	-90.4285	7.2015	14.0955	39.79
0x50	 15:57:55.850	-0.1309	-0.9907	-0.0059	0.0000	0.4883	0.0000	-90.4285	7.2070	14.0955	39.79
0x50	 15:57:55.860	-0.1309	-0.9907	-0.0059	-0.1831	0.0000	0.0000	-90.4285	7.2070	14.0955	39.79
0x50	 15:57:55.870	-0.1235	-0.9858	-0.0063	-0.1831	0.0000	0.0000	-90.4340	7.2125	14.0955	39.79
0x50	 15:57:55.880	-0.1235	-0.9858	-0.0063	0.0000	-0.3052	0.0000	-90.4285	7.2125	14.0955	39.79
0x50	 15:57:55.890	-0.1216	-0.9839	-0.0083	0.0000	-0.3052	0.0000	-90.4285	7.2070	14.1010	39.79
0x50	 15:57:55.913	-0.1216	-0.9839	-0.0083	-0.3052	-0.3052	0.3052	-90.4340	7.2125	14.1010	39.78
0x50	 15:57:55.913	-0.1270	-0.9912	-0.0088	-0.3052	-0.3052	0.3052	-90.4340	7.2125	14.1064	39.78
0x50	 15:57:55.920	-0.1270	-0.9912	-0.0088	-0.6714	-0.1831	0.6714	-90.4449	7.2180	14.1064	39.79
0x50	 15:57:55.930	-0.1270	-0.9961	-0.0078	-0.6714	-0.1831	0.6714	-90.4504	7.2290	14.1064	39.79
0x50	 15:57:55.940	-0.1270	-0.9961	-0.0078	-0.5493	-0.3662	0.5493	-90.4559	7.2345	14.1119	39.79
0x50	 15:57:55.950	-0.1230	-0.9951	-0.0088	-0.5493	-0.3662	0.5493	-90.4614	7.2400	14.1174	39.79
0x50	 15:57:55.960	-0.1230	-0.9951	-0.0088	-0.3662	-0.4272	0.3662	-90.4614	7.2400	14.1229	39.78
0x50	 15:57:55.969	-0.1240	-0.9922	-0.0103	-0.3662	-0.4272	0.3662	-90.4669	7.2400	14.1229	39.78
0x50	 15:57:55.979	-0.1240	-0.9922	-0.0103	-0.4272	0.0000	0.3052	-90.4724	7.2455	14.1229	39.78
