StartTime: 2021-11-13 15:24:36.375
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 15:24:36.375	0.1079	-0.9810	0.1372	1.4648	3.3569	0.4883	-82.6282	-6.3007	-0.1978	38.73
0x50	 15:24:36.375	0.1079	-0.9810	0.1372	0.5493	0.8545	0.4883	-82.6172	-6.2952	-0.2087	38.72
0x50	 15:24:36.378	0.1143	-0.9854	0.1284	0.5493	0.8545	0.4883	-82.6062	-6.2897	-0.2142	38.72
0x50	 15:24:36.388	0.1143	-0.9854	0.1284	0.4272	-0.2441	0.4272	-82.6007	-6.2842	-0.2142	38.73
0x50	 15:24:36.398	0.1152	-0.9858	0.1255	0.4272	-0.2441	0.4272	-82.5952	-6.2842	-0.2087	38.73
0x50	 15:24:36.408	0.1152	-0.9858	0.1255	0.6714	0.9155	0.6104	-82.5897	-6.2842	-0.2197	38.73
0x50	 15:24:36.418	0.1123	-0.9902	0.1299	0.6714	0.9155	0.6104	-82.5842	-6.2787	-0.2252	38.73
0x50	 15:24:36.428	0.1123	-0.9902	0.1299	0.6104	2.1362	0.6104	-82.5732	-6.2732	-0.2472	38.72
0x50	 15:24:36.438	0.1060	-0.9888	0.1328	0.6104	2.1362	0.6104	-82.5677	-6.2622	-0.2692	38.72
0x50	 15:24:36.448	0.1060	-0.9888	0.1328	0.8545	2.1973	-0.1831	-82.5513	-6.2622	-0.2911	38.74
0x50	 15:24:36.458	0.1157	-0.9819	0.1216	0.8545	2.1973	-0.1831	-82.5403	-6.2567	-0.3131	38.74
0x50	 15:24:36.468	0.1157	-0.9819	0.1216	1.0376	2.6855	0.3662	-82.5293	-6.2567	-0.3406	38.74
0x50	 15:24:36.478	0.1113	-0.9829	0.1270	1.0376	2.6855	0.3662	-82.5238	-6.2512	-0.3625	38.74
0x50	 15:24:36.488	0.1113	-0.9829	0.1270	1.4038	3.7842	1.7090	-82.5073	-6.2292	-0.4010	38.73
0x50	 15:24:36.498	0.1021	-0.9854	0.1377	1.4038	3.7842	1.7090	-82.4908	-6.2128	-0.4340	38.73
0x50	 15:24:36.508	0.1021	-0.9854	0.1377	0.4883	3.9673	1.4038	-82.4744	-6.1908	-0.4724	38.73
0x50	 15:24:36.517	0.0991	-0.9912	0.1440	0.4883	3.9673	1.4038	-82.4634	-6.1688	-0.5109	38.73
0x50	 15:24:36.527	0.0991	-0.9912	0.1440	-0.9766	3.0518	0.0000	-82.4634	-6.1578	-0.5438	38.73
0x50	 15:24:36.549	0.1069	-0.9917	0.1362	-0.9766	3.0518	0.0000	-82.4634	-6.1469	-0.5713	38.73
0x50	 15:24:36.549	0.1069	-0.9917	0.1362	-1.3428	1.7090	-0.6104	-82.4689	-6.1523	-0.5878	38.73
0x50	 15:24:36.557	0.1177	-0.9902	0.1230	-1.3428	1.7090	-0.6104	-82.4799	-6.1578	-0.6097	38.73
0x50	 15:24:36.567	0.1177	-0.9902	0.1230	-0.8545	2.6245	-1.2207	-82.4908	-6.1688	-0.6372	38.73
0x50	 15:24:36.577	0.1172	-0.9893	0.1191	-0.8545	2.6245	-1.2207	-82.4963	-6.1853	-0.6647	38.73
0x50	 15:24:36.587	0.1172	-0.9893	0.1191	-0.2441	5.7983	-1.7700	-82.5018	-6.1963	-0.7251	38.72
0x50	 15:24:36.597	0.1128	-0.9897	0.1221	-0.2441	5.7983	-1.7700	-82.5018	-6.2128	-0.7855	38.72
0x50	 15:24:36.607	0.1128	-0.9897	0.1221	0.3052	8.1787	-1.6479	-82.4963	-6.2238	-0.8679	38.74
0x50	 15:24:36.617	0.1069	-0.9854	0.1406	0.3052	8.1787	-1.6479	-82.4854	-6.2292	-0.9503	38.74
0x50	 15:24:36.627	0.1069	-0.9854	0.1406	0.2441	9.1553	-2.8076	-82.4689	-6.2457	-1.0437	38.73
0x50	 15:24:36.637	0.1118	-0.9800	0.1416	0.2441	9.1553	-2.8076	-82.4524	-6.2567	-1.1426	38.73
0x50	 15:24:36.647	0.1118	-0.9800	0.1416	-0.3052	7.3242	-3.3569	-82.4359	-6.2842	-1.2195	38.73
0x50	 15:24:36.657	0.0947	-0.9883	0.1421	-0.3052	7.3242	-3.3569	-82.4249	-6.3116	-1.2964	38.73
0x50	 15:24:36.667	0.0947	-0.9883	0.1421	-1.3428	5.1880	-3.1738	-82.4249	-6.3226	-1.3513	38.73
0x50	 15:24:36.691	0.0957	-0.9858	0.1465	-1.3428	5.1880	-3.1738	-82.4304	-6.3391	-1.4063	38.73
0x50	 15:24:36.691	0.0957	-0.9858	0.1465	-1.4038	-0.6714	-3.7842	-82.4359	-6.3666	-1.4063	38.73
0x50	 15:24:36.696	0.1089	-0.9868	0.1348	-1.4038	-0.6714	-3.7842	-82.4414	-6.3995	-1.4063	38.73
0x50	 15:24:36.707	0.1089	-0.9868	0.1348	-1.1597	-5.1880	-4.4556	-82.4524	-6.4490	-1.3568	38.72
0x50	 15:24:36.717	0.1211	-0.9858	0.1235	-1.1597	-5.1880	-4.4556	-82.4689	-6.4984	-1.3129	38.72
0x50	 15:24:36.727	0.1211	-0.9858	0.1235	-0.3052	-6.1035	-4.4556	-82.4799	-6.5533	-1.2579	38.74
0x50	 15:24:36.736	0.1372	-0.9790	0.1084	-0.3052	-6.1035	-4.4556	-82.4963	-6.6083	-1.2030	38.74
0x50	 15:24:36.746	0.1372	-0.9790	0.1084	0.6714	-2.8076	-3.1738	-82.5018	-6.6577	-1.1810	38.73
0x50	 15:24:36.756	0.1372	-0.9829	0.1143	0.6714	-2.8076	-3.1738	-82.5073	-6.7017	-1.1536	38.73
0x50	 15:24:36.766	0.1372	-0.9829	0.1143	0.6104	3.8452	-2.1973	-82.5073	-6.7291	-1.1975	38.74
0x50	 15:24:36.776	0.1055	-0.9893	0.1406	0.6104	3.8452	-2.1973	-82.5073	-6.7621	-1.2360	38.74
0x50	 15:24:36.786	0.1055	-0.9893	0.1406	0.7324	6.7139	-1.7700	-82.4854	-6.7621	-1.3074	38.74
0x50	 15:24:36.796	0.0986	-0.9897	0.1514	0.7324	6.7139	-1.7700	-82.4634	-6.7621	-1.3733	38.74
0x50	 15:24:36.806	0.0986	-0.9897	0.1514	2.0142	3.3569	-1.0376	-82.4249	-6.7566	-1.4117	38.74
0x50	 15:24:36.816	0.1187	-0.9956	0.1299	2.0142	3.3569	-1.0376	-82.3920	-6.7511	-1.4447	38.74
0x50	 15:24:36.826	0.1187	-0.9956	0.1299	1.8921	2.9297	-2.0752	-82.3700	-6.7676	-1.4777	38.74
0x50	 15:24:36.836	0.1226	-1.0049	0.1260	1.8921	2.9297	-2.0752	-82.3480	-6.7841	-1.5106	38.74
0x50	 15:24:36.846	0.1226	-1.0049	0.1260	2.5024	7.1411	-2.0142	-82.3206	-6.7950	-1.5820	38.73
0x50	 15:24:36.856	0.1245	-0.9854	0.1343	2.5024	7.1411	-2.0142	-82.2931	-6.8060	-1.6589	38.73
0x50	 15:24:36.866	0.1245	-0.9854	0.1343	3.7231	10.0098	-0.4883	-82.2437	-6.8005	-1.7578	38.74
0x50	 15:24:36.876	0.1152	-0.9697	0.1426	3.7231	10.0098	-0.4883	-82.1942	-6.7950	-1.8567	38.74
0x50	 15:24:36.897	0.1152	-0.9697	0.1426	3.3569	7.4463	0.5493	-82.1503	-6.7786	-1.9336	38.72
0x50	 15:24:36.897	0.1304	-0.9790	0.1289	3.3569	7.4463	0.5493	-82.1008	-6.7621	-2.0050	38.72
0x50	 15:24:36.906	0.1304	-0.9790	0.1289	1.2207	8.0566	0.3662	-82.0844	-6.7566	-2.0874	38.73
0x50	 15:24:36.916	0.1113	-0.9800	0.1484	1.2207	8.0566	0.3662	-82.0679	-6.7511	-2.1643	38.73
0x50	 15:24:36.926	0.1113	-0.9800	0.1484	0.0000	7.5684	-0.8545	-82.0514	-6.7456	-2.2412	38.73
0x50	 15:24:36.936	0.1084	-0.9829	0.1538	0.0000	7.5684	-0.8545	-82.0349	-6.7401	-2.3181	38.73
0x50	 15:24:36.945	0.1084	-0.9829	0.1538	0.0000	3.7231	-1.4648	-82.0239	-6.7456	-2.3566	38.73
0x50	 15:24:36.956	0.1294	-0.9707	0.1245	0.0000	3.7231	-1.4648	-82.0074	-6.7456	-2.3950	38.73
0x50	 15:24:36.966	0.1294	-0.9707	0.1245	-0.6104	2.2583	-1.0986	-82.0184	-6.7621	-2.4225	38.73
0x50	 15:24:36.975	0.1294	-0.9707	0.1245	-0.6104	2.2583	-1.0986	-82.0294	-6.7786	-2.4445	38.73
0x50	 15:24:36.985	0.1475	-0.9673	0.1079	-0.6104	2.2583	-1.0986	-82.0349	-6.7950	-2.4719	38.73
0x50	 15:24:36.995	0.1475	-0.9673	0.1079	-0.3052	9.3994	1.2207	-82.0459	-6.7841	-2.5598	38.72
0x50	 15:24:37.005	0.1284	-0.9751	0.1318	-0.3052	9.3994	1.2207	-82.0514	-6.7786	-2.6532	38.72
0x50	 15:24:37.015	0.1284	-0.9751	0.1318	-0.7935	15.7471	4.3335	-82.0459	-6.7236	-2.8070	38.73
0x50	 15:24:37.025	0.1128	-0.9834	0.1421	-0.7935	15.7471	4.3335	-82.0404	-6.6632	-2.9553	38.73
0x50	 15:24:37.035	0.1128	-0.9834	0.1421	-1.6479	18.5547	4.8218	-82.0349	-6.5918	-3.1311	38.73
0x50	 15:24:37.045	0.1152	-0.9907	0.1377	-1.6479	18.5547	4.8218	-82.0239	-6.5149	-3.3124	38.73
0x50	 15:24:37.054	0.1152	-0.9907	0.1377	-2.3193	20.3247	3.5400	-82.0294	-6.4545	-3.5101	38.72
0x50	 15:24:37.065	0.1226	-0.9888	0.1294	-2.3193	20.3247	3.5400	-82.0294	-6.3940	-3.7079	38.72
0x50	 15:24:37.074	0.1226	-0.9888	0.1294	-2.3193	21.9727	1.5869	-82.0349	-6.3556	-3.9221	38.74
0x50	 15:24:37.108	0.1284	-0.9897	0.1211	-2.3193	21.9727	1.5869	-82.0349	-6.3171	-4.1418	38.74
0x50	 15:24:37.108	0.1284	-0.9897	0.1211	-1.8921	25.4517	0.6714	-82.0404	-6.2842	-4.3945	38.72
0x50	 15:24:37.108	0.1226	-0.9839	0.1191	-1.8921	25.4517	0.6714	-82.0404	-6.2512	-4.6472	38.72
0x50	 15:24:37.114	0.1226	-0.9839	0.1191	-0.6104	28.5645	0.9766	-82.0239	-6.2128	-4.9274	38.73
0x50	 15:24:37.126	0.1187	-0.9780	0.1196	-0.6104	28.5645	0.9766	-82.0129	-6.1688	-5.2130	38.73
0x50	 15:24:37.134	0.1187	-0.9780	0.1196	-0.1831	32.9590	2.6245	-81.9910	-6.1084	-5.5371	38.74
0x50	 15:24:37.144	0.0996	-0.9863	0.1309	-0.1831	32.9590	2.6245	-81.9690	-6.0425	-5.8612	38.74
0x50	 15:24:37.154	0.0996	-0.9863	0.1309	-0.4272	38.0249	4.2725	-81.9360	-5.9436	-6.2347	38.75
0x50	 15:24:37.164	0.0894	-0.9946	0.1440	-0.4272	38.0249	4.2725	-81.9086	-5.8502	-6.6083	38.75
0x50	 15:24:37.174	0.0894	-0.9946	0.1440	0.3052	39.1846	3.4790	-81.8646	-5.7513	-6.9928	38.72
0x50	 15:24:37.184	0.1133	-1.0059	0.1440	0.3052	39.1846	3.4790	-81.8207	-5.6580	-7.3773	38.72
0x50	 15:24:37.194	0.1133	-1.0059	0.1440	0.9155	38.9404	1.8311	-81.7767	-5.5920	-7.7618	38.73
0x50	 15:24:37.204	0.1519	-0.9990	0.1279	0.9155	38.9404	1.8311	-81.7328	-5.5261	-8.1464	38.73
0x50	 15:24:37.214	0.1519	-0.9990	0.1279	4.0894	45.7153	0.7935	-81.6559	-5.4822	-8.5968	38.74
0x50	 15:24:37.223	0.1631	-0.9922	0.1206	4.0894	45.7153	0.7935	-81.5845	-5.4437	-9.0527	38.74
0x50	 15:24:37.234	0.1631	-0.9922	0.1206	5.7373	60.1196	1.5869	-81.4856	-5.3778	-9.6460	38.73
0x50	 15:24:37.244	0.1211	-0.9863	0.1304	5.7373	60.1196	1.5869	-81.3922	-5.3119	-10.2448	38.73
0x50	 15:24:37.254	0.1211	-0.9863	0.1304	6.4697	72.8760	3.7842	-81.2714	-5.1855	-10.9589	38.74
0x50	 15:24:37.263	0.0654	-0.9795	0.1450	6.4697	72.8760	3.7842	-81.1560	-5.0537	-11.6785	38.74
0x50	 15:24:37.274	0.0654	-0.9795	0.1450	7.3853	78.9795	2.9297	-81.0187	-4.8944	-12.4585	38.73
0x50	 15:24:37.284	0.0894	-0.9688	0.1523	7.3853	78.9795	2.9297	-80.8868	-4.7296	-13.2330	38.73
0x50	 15:24:37.306	0.0894	-0.9688	0.1523	6.1035	78.6133	1.9531	-80.7605	-4.5923	-14.0131	38.73
0x50	 15:24:37.306	0.1172	-0.9883	0.1558	6.1035	78.6133	1.9531	-80.6451	-4.4550	-14.7876	38.73
0x50	 15:24:37.313	0.1172	-0.9883	0.1558	6.1646	83.3740	1.6479	-80.5243	-4.3286	-15.6116	38.73
0x50	 15:24:37.323	0.0840	-0.9946	0.1641	6.1646	83.3740	1.6479	-80.4034	-4.1968	-16.4301	38.73
0x50	 15:24:37.333	0.0840	-0.9946	0.1641	7.5073	88.6230	4.3335	-80.2716	-4.0155	-17.2980	38.72
0x50	 15:24:37.343	0.1064	-0.9932	0.1841	7.5073	88.6230	4.3335	-80.1398	-3.8342	-18.1659	38.72
0x50	 15:24:37.353	0.1064	-0.9932	0.1841	7.6904	87.4023	3.3569	-80.0024	-3.6749	-19.0228	38.74
0x50	 15:24:37.363	0.0547	-0.9907	0.1841	7.6904	87.4023	3.3569	-79.8651	-3.5156	-19.8798	38.74
0x50	 15:24:37.373	0.0547	-0.9907	0.1841	8.6060	91.1865	1.1597	-79.7223	-3.3398	-20.7806	38.73
0x50	 15:24:37.383	0.0371	-1.0073	0.2036	8.6060	91.1865	1.1597	-79.5795	-3.1641	-21.6760	38.73
0x50	 15:24:37.393	0.0371	-1.0073	0.2036	9.2773	83.1909	-2.5024	-79.4366	-3.0322	-22.5000	38.73
0x50	 15:24:37.403	0.0752	-0.9790	0.2012	9.2773	83.1909	-2.5024	-79.2883	-2.8949	-23.3240	38.73
0x50	 15:24:37.417	0.0752	-0.9790	0.2012	9.5825	82.0923	-5.0049	-79.1455	-2.8070	-24.1425	38.73
0x50	 15:24:37.422	0.0513	-0.9712	0.1914	9.5825	82.0923	-5.0049	-79.0027	-2.7136	-24.9554	38.73
0x50	 15:24:37.432	0.0513	-0.9712	0.1914	9.5825	84.8999	-5.0659	-78.8654	-2.6093	-25.8014	38.73
0x50	 15:24:37.442	-0.0405	-0.9810	0.2085	9.5825	84.8999	-5.0659	-78.7335	-2.4994	-26.6473	38.73
0x50	 15:24:37.452	-0.0405	-0.9810	0.2085	7.0190	76.5991	-6.4087	-78.6237	-2.3621	-27.4109	38.74
0x50	 15:24:37.463	-0.0679	-0.9834	0.2412	7.0190	76.5991	-6.4087	-78.5193	-2.2302	-28.1744	38.74
0x50	 15:24:37.472	-0.0679	-0.9834	0.2412	6.3477	56.3965	-7.4463	-78.4094	-2.1313	-28.7402	38.74
0x50	 15:24:37.482	-0.0200	-0.9785	0.2446	6.3477	56.3965	-7.4463	-78.3051	-2.0325	-29.3115	38.74
0x50	 15:24:37.492	-0.0200	-0.9785	0.2446	5.2490	39.9170	-11.4136	-78.2172	-2.0270	-29.7235	38.74
0x50	 15:24:37.502	0.0293	-0.9893	0.2222	5.2490	39.9170	-11.4136	-78.1238	-2.0270	-30.1355	38.74
0x50	 15:24:37.512	0.0293	-0.9893	0.2222	5.9814	35.6445	-13.0615	-78.0469	-2.0764	-30.5145	38.72
0x50	 15:24:37.522	0.0664	-0.9878	0.1992	5.9814	35.6445	-13.0615	-77.9645	-2.1259	-30.8881	38.72
0x50	 15:24:37.532	0.0664	-0.9878	0.1992	6.5918	40.4663	-12.8784	-77.8931	-2.1863	-31.3110	38.73
