StartTime: 2022-05-03 22:49:51.270
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 22:49:51.270	-0.0054	-0.9932	-0.0239	1.9531	0.4272	1.0376	-90.3900	0.4559	-5.8337	36.96
0x50	 22:49:51.270	-0.0054	-0.9932	-0.0239	1.9531	0.4272	1.0376	-90.3790	0.4669	-5.8337	36.96
0x50	 22:49:51.270	0.0093	-0.9927	-0.0313	2.0752	3.2959	0.9766	-90.3735	0.4669	-5.8667	36.96
0x50	 22:49:51.274	0.0093	-0.9927	-0.0313	2.0752	3.2959	0.9766	-90.3680	0.4669	-5.8997	36.96
0x50	 22:49:51.284	0.0210	-1.0000	-0.0308	1.5869	5.4932	0.6714	-90.3680	0.4559	-5.9546	36.95
0x50	 22:49:51.294	0.0210	-1.0000	-0.0308	1.5869	5.4932	0.6714	-90.3625	0.4449	-6.0095	36.95
0x50	 22:49:51.326	-0.0034	-1.0112	-0.0107	-0.9155	9.6436	-0.2441	-90.3790	0.4395	-6.1084	36.95
0x50	 22:49:51.326	-0.0034	-1.0112	-0.0107	-0.9155	9.6436	-0.2441	-90.3900	0.4340	-6.2018	36.95
0x50	 22:49:51.326	-0.0005	-1.0122	0.0107	-3.0518	6.6528	-1.6479	-90.4065	0.4120	-6.2732	36.95
0x50	 22:49:51.335	-0.0005	-1.0122	0.0107	-3.0518	6.6528	-1.6479	-90.4285	0.3900	-6.3391	36.95
0x50	 22:49:51.344	-0.0132	-1.0161	0.0283	-2.9297	4.6387	-1.1597	-90.4395	0.3845	-6.3831	36.96
0x50	 22:49:51.354	-0.0132	-1.0161	0.0283	-2.9297	4.6387	-1.1597	-90.4449	0.3735	-6.4325	36.96
0x50	 22:49:51.364	-0.0205	-1.0117	0.0244	-1.3428	3.4790	-0.9155	-90.4449	0.3735	-6.4655	36.96
0x50	 22:49:51.374	-0.0205	-1.0117	0.0244	-1.3428	3.4790	-0.9155	-90.4395	0.3735	-6.4984	36.96
0x50	 22:49:51.384	-0.0254	-1.0059	0.0059	1.4038	1.7700	0.0000	-90.4175	0.3845	-6.5149	36.95
0x50	 22:49:51.396	-0.0254	-1.0059	0.0059	1.4038	1.7700	0.0000	-90.3955	0.3955	-6.5369	36.95
0x50	 22:49:51.404	-0.0103	-0.9951	-0.0068	2.2583	0.9155	0.3052	-90.3735	0.4010	-6.5424	36.95
0x50	 22:49:51.414	-0.0103	-0.9951	-0.0068	2.2583	0.9155	0.3052	-90.3516	0.4010	-6.5533	36.95
0x50	 22:49:51.423	-0.0049	-0.9907	-0.0103	1.0376	1.7700	0.1831	-90.3406	0.4065	-6.5698	36.94
0x50	 22:49:51.434	-0.0049	-0.9907	-0.0103	1.0376	1.7700	0.1831	-90.3351	0.4065	-6.5863	36.96
0x50	 22:49:51.444	-0.0088	-0.9951	-0.0103	0.0000	3.4180	0.9766	-90.3406	0.4175	-6.6248	36.96
0x50	 22:49:51.454	-0.0073	-0.9966	-0.0103	-0.3662	2.7466	1.0376	-90.3461	0.4230	-6.6522	36.96
0x50	 22:49:51.464	-0.0073	-0.9966	-0.0103	-0.3662	2.7466	1.0376	-90.3516	0.4340	-6.6797	36.96
0x50	 22:49:51.474	-0.0034	-0.9966	-0.0078	-0.6714	0.3662	0.2441	-90.3571	0.4340	-6.6797	36.95
0x50	 22:49:51.484	-0.0034	-0.9966	-0.0078	-0.6714	0.3662	0.2441	-90.3680	0.4340	-6.6852	36.95
0x50	 22:49:51.494	-0.0054	-1.0034	-0.0005	-1.7090	-1.7700	0.1831	-90.3790	0.4340	-6.6687	36.97
0x50	 22:49:51.528	-0.0054	-1.0034	-0.0005	-1.7090	-1.7700	0.1831	-90.3900	0.4340	-6.6522	36.97
0x50	 22:49:51.528	-0.0171	-1.0044	0.0117	-2.9907	-2.9907	0.4272	-90.4120	0.4449	-6.6193	36.95
0x50	 22:49:51.528	-0.0171	-1.0044	0.0117	-2.9907	-2.9907	0.4272	-90.4285	0.4559	-6.5918	36.95
0x50	 22:49:51.534	-0.0190	-1.0161	0.0186	-3.4180	-5.0659	0.0000	-90.4504	0.4614	-6.5369	36.96
0x50	 22:49:51.544	-0.0190	-1.0161	0.0186	-3.4180	-5.0659	0.0000	-90.4669	0.4669	-6.4874	36.96
0x50	 22:49:51.554	-0.0225	-1.0210	0.0161	-2.7466	-5.9204	-0.3662	-90.4779	0.4724	-6.4270	36.94
0x50	 22:49:51.564	-0.0225	-1.0210	0.0161	-2.7466	-5.9204	-0.3662	-90.4944	0.4779	-6.3721	36.94
0x50	 22:49:51.574	-0.0137	-1.0200	0.0068	-1.4038	-7.0801	-0.9155	-90.4999	0.4724	-6.3007	36.95
0x50	 22:49:51.584	-0.0137	-1.0200	0.0068	-1.4038	-7.0801	-0.9155	-90.4999	0.4669	-6.2292	36.95
0x50	 22:49:51.594	-0.0068	-1.0171	-0.0029	-0.3662	-7.8735	-0.9155	-90.4999	0.4559	-6.1523	36.95
0x50	 22:49:51.604	-0.0068	-1.0171	-0.0029	-0.3662	-7.8735	-0.9155	-90.4999	0.4504	-6.0699	36.95
0x50	 22:49:51.614	0.0020	-1.0083	-0.0186	0.0000	-6.7749	-0.9155	-90.5054	0.4340	-6.0040	36.95
0x50	 22:49:51.624	0.0020	-1.0083	-0.0186	0.0000	-6.7749	-0.9155	-90.5109	0.4230	-5.9326	36.95
0x50	 22:49:51.635	-0.0024	-1.0039	-0.0259	-0.6104	-6.4697	-0.9766	-90.5273	0.4065	-5.8722	36.95
0x50	 22:49:51.645	-0.0024	-1.0039	-0.0259	-0.6104	-6.4697	-0.9766	-90.5438	0.3955	-5.8063	36.95
0x50	 22:49:51.654	-0.0010	-1.0103	-0.0293	-1.0376	-5.9814	-1.3428	-90.5603	0.3790	-5.7458	36.95
0x50	 22:49:51.664	-0.0010	-1.0103	-0.0293	-1.0376	-5.9814	-1.3428	-90.5823	0.3625	-5.6854	36.95
0x50	 22:49:51.675	-0.0015	-1.0083	-0.0229	-1.3428	-4.0283	-1.6479	-90.6042	0.3461	-5.6470	36.95
0x50	 22:49:51.685	-0.0015	-1.0083	-0.0229	-1.3428	-4.0283	-1.6479	-90.6207	0.3296	-5.6030	36.95
